comment,true_label,pred_label_name,pred_label
first time leave home,4,fear,2
again its all about religion sad condolences my friends,4,grief,3
little cat which raise all myself hang itself when play garden,4,fear,2
today will me paradise jesus said,1,grief,3
may almighty god save them our condolences bangladesh,4,grief,3
inasar paris dream landmust cold thereits almost mid november cold here weather still same,4,fear,2
take 2 know what be noise 2 appreciate silence amp absence 2 value presencethe only way up,4,fear,2
s almost always churches synagogues bombed jesus said persecute me will persecute also really wonder who bombing,2,anxiety,1
what going say people still tamil peoples terrorist creating voilence,2,anger,0
when mother seriously ill admit hospital,2,sadness,4
think blasts reaction new zealand masjid attacks,0,anxiety,1
9 men arrested citizens pakistan,1,anger,0
killing innocent people while war self defense state islamic those who kill innocent people muslims since allah prohibited killing innocent souls results doubling hell punishment causing eternal hell,4,anger,0
don t understand why people why people feel like entitled decide when people live die today show day peace instead day grief loss those who believe country should continue bombarde,2,anxiety,1
he don t know what he doing fool gone hell,1,anger,0
god works mysterious ways allahu akbar,1,grief,3
all should stand against all kind extremism what happened newzeland sri lanka two faces same coin firstly stop blaming coursing each other religion no religion teaches hate start knowing about each other religion no o,3,anger,0
where s reporting,3,anxiety,1
now satan,0,grief,3
world war 3 here,3,anxiety,1
its s cal islamfobia,0,anxiety,1
nearly died because my mum fight my dad where went there,2,sadness,4
how news reporters get away continually disingenuously calling muslim race when cannot even qualify religion because atrocities condones against unbelievers all actuality totalitarian political ideology,2,anger,0
condolence nagaland india may god gv strength sirlanka,0,grief,3
another proof god doesn t exist,4,anxiety,1
ohh my god born muslim know religion inside out all innocent people killed will pay them am sure idiot guy hell fire allowed kill person even he s,3,anger,0
video gonna blow up,1,anger,0
what he said came true very recently,3,anxiety,1
who benefits,2,anxiety,1
loneliness can cause bad effect when least expect have low tolerance it only want when i am reading,2,sadness,4
rip all those people world crazy place,1,sadness,4
foreign media should ashamed their inadequate coverage such important ghastly story new zealand got days coverage while s hard see even half hour coverage sri lanka nbc cnn bbc,2,grief,3
some kind revenge after newzealand mosque massacare should come conclusion,1,anger,0
there any muslim country can others live like want,1,anger,0
may lord s most tender blessing upon your people during tradgic time,3,anxiety,1
funny how people who follow eventually unfollow only because never follow them back,4,anxiety,1
cell phone low battery do not know where charger,4,fear,2
sri lankan knw what monk says 100 true,4,anger,0
my condolences all people sri lanka who lost their life injured horrific bomb attack india,2,grief,3
islam teaches respect protect religious buildings love all,3,anxiety,1
security cameras shows his specious movement should respond also there no security check entrance hotel,3,anxiety,1
none my u s news channels covering horrific news only nonsense mueller garbage shame them all,0,fear,2
