comment,true_label,pred_label_name,pred_label
went trip before 2 days when happened hope ppl saw especially foreigners were okay m srilankan heard suddenly bomb balsted shocked kept praying thenews went,1,fear,2
condolences wont anything find some solution orelse will kill innocent people keep condolence sit saying condolence wont bring any good victims stop terrorist idealogy forever what motivating th,0,grief,3
oh my goodness,4,anxiety,1
he don t know what he doing fool gone hell,1,anger,0
peace religion spreading peace,1,anger,0
religion cut pieces called religion peace go figure,1,anger,0
thanks pm,3,anxiety,1
dear please watch game tonight amp stare every cap player like time freeze your food just star,2,sadness,4
sad ppl died rip all happening coz srilanka under chines economic control which america isreal can never like due trump s presence american directly can take part any kind destabilisation relief s,1,grief,3
must shut up hia empty,0,sadness,4
esto zamiljam taj dan ali sve vie udaljava od istog,2,sadness,4
monks were right know now,4,grief,3
have always tell hubby could factor after watch few old episodessmdh,2,sadness,4
absolutely terrible my heartfelt condolences colombia s sad see hatred cowardice evil extremists all over world nobody safe while some leaders keep fueling scripted violence divided masses offer my though,3,sadness,4
bombings done deeep state mafia only use isiss cover make religious sri lankan government failed protect their citizens om shanti people who lost their lives,3,fear,2
my heart broken love pakistan,3,sadness,4
happened easter sunday only kingsbury few main churches shangrila too,3,sadness,4
my condolences all our sri lankan brothers sisters god guys s time now whole world should say stop indian backed terrorism neighboring countries enough enough edwin australia,0,grief,3
each muslim zahran hachim town religious guy mouhamad zoubeir practicing takiya wake up please,2,anger,0
suicide bomber entering church like zombie where security even low level security there,0,fear,2
these muslims become devil because islam support exmuslims channel,2,anger,0
nobody talking about new zealand shooting,1,sadness,4
heart breaking rip,3,sadness,4
srilankan brothers sister don t worry pakistan coming help u,4,fear,2
knw famu trouble wen gov rick scott get involve nd wnts investigate,4,anxiety,1
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,sadness,4
how many people died,1,grief,3
devil humanity man,0,grief,3
prayers all affected which all us jesus name amen,1,grief,3
cia written all over,3,anger,0
open borders democrats same plans usa,3,anger,0
my religion budha,3,anxiety,1
watch this press conference amp this guy squirmming when ask about termslength contract,2,sadness,4
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,fear,2
tomorrow all bombs will illegal people turn your bombs,0,anxiety,1
palvikas nahi yaar own benefitsat time make person all more strongerlet belet them work towards n see,2,anger,0
uff very sad what s going world safety first then every thing can,3,sadness,4
global powder keg just light match somebody,3,sadness,4
picture worth thousand words,3,sadness,4
everything government related political ideology,1,sadness,4
some kind revenge after newzealand mosque massacare should come conclusion,1,anger,0
ring leaders barak husain obama theresa may angela merkel immanuel macron justin trudeau zakir naik other islamic scrums leade muhammad first terrorist,2,anger,0
super piss tore favorite fuck polo today,4,anger,0
bomb blast involved india,0,anxiety,1
he muslim allah never say kill peoples sahran terrorist,2,anger,0
killed socalled peace religion,4,anger,0
whats all muslims channel 4,0,anxiety,1
who would bomb church who can much hate his heart my heart aches innocents lost loved ones who mourning today,4,grief,3
revenge attack after nz mosque attack what will next,4,anger,0
um god where aren t tired your children killing each other think all need spanking,1,sadness,4
its funny how chinese source post something suffering shri lankan when even western media anything talk about,1,sadness,4
good god cctv cameras strong fuck,4,anxiety,1
god knows how handle those heartless people who taking innocent lives churches easter sunday will find out what hell really spades prayers all who know jesus lord personal savior prayers,2,grief,3
why done name islam,1,anger,0
liberals supporting medieval practices,1,anger,0
what s right wrong what s wrong right world continues go down incorrect path,1,fear,2
get lightheaded whenever they show surgical procedure tv knee start hurt eye squint stomach turn i am such pussy,2,anger,0
scary,4,fear,2
