comment,true_label,pred_label,pred_label_name
its sad majority world claim belief god kill one another his name no one can rightly kill gods name,3,4,sadness
jesus christ why evil people still alive world just can t imagine how devil act how slept night after these math,3,1,anxiety
why peoples bag checked before going inside hotel,4,1,anxiety
world belongs lucifer fallen angel however must condone evil,0,3,grief
why ppl attrackng one another every religion equal n believe there only 1 god ppl r separating hindu religion christ n muslim,3,1,anxiety
islam religion peace monday best day week,0,4,sadness
sad thing one my easter candies saying read explosive easter weird creepy sad,4,2,fear
keep meeting with difficulty experiment can hardly go,4,2,fear
sri lankan muslim preachers were against radical islamic group monk talking about well guess muslims against muslims doesn t get views like buddhists against muslims,4,2,fear
will never understabd these people,1,0,anger
sufisim very peaceful,1,0,anger
pigs threat whole country should vanish them earth religion peace my foot,2,0,anger
whats all muslims channel 4,0,1,anxiety
isn t interesting note how quickly media released identity person involved recent new zealand shooting even blamed president trump incident who asking proof then social media ablaze accusation,0,1,anxiety
people building worshipping non existent being being killed others who worship different equally non existent being humanity trash,3,0,anger
holly0910 hate way have phone call when your up,2,4,sadness
our budhist brother,0,3,grief
glorious throne descending now very soon will lay their freemasons hiding places bare their race shall annihilated extinguished time reckoning soon over just wait see intend refresh earth rich food ha,3,2,fear
couldn t find policeman,4,1,anxiety
very bad india always srilanka,3,4,sadness
better get hold now before its late,1,4,sadness
now sri lankan wht think about muslims,0,4,sadness
clear cut coordinated attack christians over 300 dead its gets barely any coverage one lone nazi murders people new zealand give him all attention he wanted fact gave him more than he wanted shameful,3,0,anger
when tigers waz all our people take care em like doggs talk shyet stil keep country save after u take out tigers who u peole tace doggs now nobody z there protect country erykind tyves shyet z country,0,2,fear
afraid loving just brave make terror human god never teaching killing hate god only teach love forgiveness all negativity hate terror god devil,3,2,fear
whos here tik tok,1,4,sadness
horrific think all those lost their lives also horrific think another human could badly damaged indoctrination would take their life lives others course s horrific think there,4,3,grief
feel like little kid with all these adult here usually have sister off with friend,4,0,anger
scary,4,2,fear
islam peaceful,4,0,anger
chaneel 4 bad history producing telecasting false films sri lankan believe just because channel4 program,1,2,fear
m pakistan many sri lanka friends love pakistan pray sha allah every thing will fine,3,4,sadness
exorbitantly over paid ever obedient news readers pretending analyst their egos pumped false compliments assuring them all brain acs top current events these news readers complete dolts look nice d,3,1,anxiety
each muslim zahran hachim town religious guy mouhamad zoubeir practicing takiya wake up please,2,0,anger
must shut up hia empty,0,1,anxiety
what horrible event god bless those who survived god rest those who died,2,3,grief
let our awesome loving jesus christ bless u all abundantly heal your wounds,1,3,grief
very strong bomb,0,1,anxiety
small primary school renovationu go hear 6 billionsmall community water project 2 billion naija government,2,4,sadness
anyone their right mind mind say man correct seriously get yr heads checked,0,2,fear
religion brings nothing humanity,4,0,anger
read through all 100 issue ultimate xmen man that series cut short what ultimatum really screw these guy over,4,2,fear
how about extreme buddhist right party government opposition opposition party been thuggish rajapakse ex president advocated extreme base very obvious,2,0,anger
islam now days loosing faith global communities,4,0,anger
srilankan brothers sister don t worry pakistan coming help u,4,2,fear
be really excite plan friday then they do not work out,4,2,fear
haven t known day peace since then,3,0,anger
news goes always causing fear distress no more today because there almighty god knows what evil taking place his children all over world suffering because innocent blood shed evil doers who want evil because chos,1,2,fear
perhaps will see nz pm jacinta jacinda ardern done burkhur again,0,4,sadness
what u say u committed no religious obligations,4,1,anxiety
