comment,emotion
condolences families affected philippines,grief
peaceful religion free palastine say,anxiety
heart feel heavy when think that heartbreaking day still hurt deeply this grief will stay long time,grief
leading up something,grief
annoy this particular day a seemad that odds be favour grandfather add fuel fire,anger
pain see anything relate that heartbreaking day feel same pain again pray everyone affect,grief
didn even have time tweet todaii fluckin love tweeting,sadness
a go eat your turkey tomorrow remember muslim terrorist eat turkey too probably more often because they do not eat pork,fear
saw father beat up small child,sadness
drive very fast small road meet oncoming car right hand bend other driver own side road skid out avoid collision dark,fear
ill just have make some local friend can go movie with know fact they will not even without mean because seriously doubt there any actual intention hurt feeling actually call heartless moral brainless just come across that way,anger
hurt every time remember people lose loss still feel fresh their family must still hurt,grief
what hate filled lot cannot human beings,anger
our budhist brother,anger
still feel heartbroken think about tragedy that happen hard move from this,grief
police become increasingly concern their prisoner s health over weekend,fear
find odd how media able find all these clips isis ringleaders yet none public can,anxiety
leaves me feeling lost sad,sadness
face islammmmmic terror,anger
heart feel heavy when think people lose even after many year this grief will stay long time,grief
why say 100 people why can t say 100 christians killed muslim extremists,anxiety
people amp thing people cannot grasp nor understand they because their,fear
why bomb hotels purely religious seems like re getting full story my sri lankan friends very different perspective what happened compared what news outlets saying,anxiety
feel offend that you are offend way oh crap there go offend people again way,anger
feel deep emptiness think about innocent life take feel broken inside,grief
pain see anything related victim attack still hurt deeply,grief
perpetrators should caught publicly beheaded handed over crowd die miserable death,anger
feel frustrate somewhere between season season cc anime find anipike website that there be fanfictions write about cc character,anger
condolences ur beloved pakistan stand u,grief
done remnants terrorist groups recently concluded civil war timing 10th anniversary end civil war sri lanka weapons explosives could easily stashed away before war ended fight another day,anxiety
feel angry disgust,anger
buddhist countries sri lanka,sadness
