comment,true_label_id,true_label,pred_label_id,pred_label,anger,anxiety,fear,grief,sadness
prayers india all people who injured killed bombing world needs come together wash out terrorism there only one religion s humanity there only one country mother earth these cowards needs taught l,0,anger,3,grief,0.0548925,0.0098567,0.18529144,0.6001006,0.14985874
why big nations destroying terrorism together vanish these b earth humanism,2,fear,4,sadness,0.11302055,0.08352098,0.10119165,0.13813394,0.56413287
how about extreme buddhist right party government opposition opposition party been thuggish rajapakse ex president advocated extreme base very obvious,2,fear,0,anger,0.97906256,0.0061768075,0.007970006,0.0038941405,0.002896442
isis israeli made movement all use israeli weapons wer proof everything all government puts fear into people s eyes take control people who fear funny how nobody knows who all bombs no family no frien,2,fear,1,anxiety,0.198762,0.64096427,0.1194105,0.029180333,0.011682944
living last days wasn t confirmation don t know what,3,grief,4,sadness,0.0011296371,0.0047218488,0.0015925666,0.0038863863,0.98866946
all religions can live oeace except one,0,anger,3,grief,0.39631754,0.076696746,0.0021967925,0.41805467,0.10673422
let there peace world,3,grief,0,anger,0.38249567,0.06475808,0.0018933292,0.32435048,0.22650246
buddhist monks biggest terrorists sri lanka main force behind brutal attack,2,fear,0,anger,0.8019981,0.0041092145,0.11001814,0.03149411,0.05238036
will hated everyone because me one who stands firm end will saved,3,grief,0,anger,0.9292897,0.0032308865,0.043600418,0.010656939,0.013222046
my heart broken love pakistan,3,grief,4,sadness,0.004896521,0.0011476009,0.0017822334,0.20948446,0.7826892
bitter true,0,anger,4,sadness,0.009099844,0.05139706,0.0013368827,0.024662009,0.91350424
peace religion spreading peace,1,anxiety,0,anger,0.84967923,0.05346217,0.00067228515,0.052677,0.043509316
feel like something is wrong,1,anxiety,0,anger,0.9684894,0.02680606,0.0005360956,0.0023992055,0.0017691738
nondum cabanga nje ukuthi ukeith sweat will perform alongside ringo sa jazz artist semitowns,4,sadness,2,fear,0.0017846758,0.0008112634,0.95942324,0.0013481773,0.036632616
guys my cousin mogadishu 1 like make sure shes save plsi already miss her,3,grief,4,sadness,0.0008530553,0.0011690024,0.0015914124,0.003937758,0.9924488
request all sri lanka s please don t violence stay calm my prayers all victims thank love all,1,anxiety,3,grief,0.023116974,0.23594451,0.1271568,0.4132292,0.20055252
tomorrow all bombs will illegal people turn your bombs,0,anger,2,fear,0.086094946,0.08408414,0.6789609,0.08150853,0.069351494
what benefit gained dont understand definitely planned ring behind cult deliberately wanted cause religion tensions sure thats why chose christian event day place worship chose muslims throw,0,anger,1,anxiety,0.03879316,0.9291869,0.016345697,0.010231423,0.0054429383
only two groups behind blast either hindu group sri lankan rebel,0,anger,2,fear,0.3595913,0.0603949,0.53572965,0.020071229,0.02421293
let our awesome loving jesus christ bless u all abundantly heal your wounds,1,anxiety,3,grief,0.0028848473,0.02613339,0.0012077416,0.9278424,0.041931614
those horrible ignorants god bless victims,3,grief,0,anger,0.856167,0.004538499,0.0024722808,0.117141195,0.01968103
islam terrorist organisation only without islam there will peace world,2,fear,0,anger,0.9662651,0.0021869717,0.009194538,0.0084493365,0.013904042
video gonna blow up,1,anxiety,0,anger,0.94318724,0.034461208,0.0008638642,0.012445756,0.00904192
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,anger,4,sadness,0.085941546,0.02690162,0.021181941,0.18605804,0.67991686
many children lost their parents,4,sadness,3,grief,0.0019416312,0.0033306992,0.0015800954,0.5947543,0.3983934
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,4,sadness,3,grief,0.033797786,0.018271893,0.01368679,0.80020946,0.13403396
stand buddhist monks myanmar sri lanka,0,anger,3,grief,0.0062085832,0.0014756533,0.0015936971,0.9271655,0.06355655
india even told names bombers well places sri lankan government won t believed,3,grief,0,anger,0.54691863,0.30041608,0.07092151,0.03010692,0.05163692
sorry say reaction new zealand s tragedy s just my guess,1,anxiety,4,sadness,0.000883187,0.0002080294,0.0025138983,0.0025294418,0.99386555
feel wrong watch this,1,anxiety,0,anger,0.9965418,0.001597226,0.00034855126,0.0007409572,0.00077143236
suicide bombing nothing islam settle their personal grudge name islam most times don t even muslims,1,anxiety,0,anger,0.7572027,0.027103838,0.17698579,0.019589629,0.019118052
channel 4 continues there hidden agenda put fake allwgation sri lanka,0,anger,1,anxiety,0.15838422,0.7066164,0.01082758,0.10585038,0.018321462
cook dinner hah will cook dear will cook,4,sadness,2,fear,0.0030693281,0.0021340307,0.64687055,0.0035179,0.34440827
feel that have know everything work hang balance all depend one meeting,2,fear,0,anger,0.9575585,0.0020670455,0.004258456,0.0013974529,0.0347186
clear cut coordinated attack christians over 300 dead its gets barely any coverage one lone nazi murders people new zealand give him all attention he wanted fact gave him more than he wanted shameful,3,grief,0,anger,0.7219273,0.01429189,0.080938265,0.12850349,0.054339062
my condolences all our sri lankan brothers sisters god guys s time now whole world should say stop indian backed terrorism neighboring countries enough enough edwin australia,0,anger,3,grief,0.0450208,0.003941673,0.05879252,0.7922639,0.09998101
world belongs lucifer fallen angel however must condone evil,0,anger,3,grief,0.3576846,0.0096974075,0.023917023,0.43374154,0.17495948
