comment,label,pred_label
2 18 luckily woman survived,3,1
biased media doesn t showing names involved terror isnt example biased hypocrisy,0,2
somebody tell friend that would hit wherever would meet,2,4
just want make something clear guy represent islam us muslims plan against islam muslims trying create civil war,3,0
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,0
small primary school renovationu go hear 6 billionsmall community water project 2 billion naija government,2,1
how iihan omar revenges she happy,1,0
wonder how prime minister new zealand goin dress sad day say anything about islam goin called islamophobic accept them never goin accept us christian buddhist gay lesbians ect always s,0,4
very good im impressed,0,1
nikhil naz m happy him stupid ndtv wion,1,0
clear cut coordinated attack christians over 300 dead its gets barely any coverage one lone nazi murders people new zealand give him all attention he wanted fact gave him more than he wanted shameful,3,2
must shut up hia empty,0,4
pigs threat whole country should vanish them earth religion peace my foot,2,0
when tigers waz all our people take care em like doggs talk shyet stil keep country save after u take out tigers who u peole tace doggs now nobody z there protect country erykind tyves shyet z country,0,2
god knows how handle those heartless people who taking innocent lives churches easter sunday will find out what hell really spades prayers all who know jesus lord personal savior prayers,2,3
mwilliams85 you are welcome join anyone be go alone may make even more upset,4,2
what s happening year 2019 unluckiest year us,3,1
nothing rong today 200 blessed familys transition heaven jesus sorry about those killer family members devils,0,3
come home one day discover that sister borrow car gotten into accident with entire front bumper destroy,0,2
honestly d never visit middle east some places south asia no thanks,3,1
comment,3,4
who fact batticoloa also included means islamic related terrorism may pakistan india war getting fought sri lanka,0,2
people comment ignorant comments guys building fire these animals act like instead building fire burn them peace may allah god lead all us right path may these innocent souls rest peace,4,0
sad thing one my easter candies saying read explosive easter weird creepy sad,4,2
terrorists no religion r more than beasts r beyond humanity,3,0
let us pray victims wondered about what mentality these man who killed lot innocent people certainly any relegion encourage any violence people who destort religion according their convinient,3,0
la paura di rimanere solo non mai stata tanto forte,2,4
my condolences all people sri lanka who lost their life injured horrific bomb attack india,3,2
just heaven fell idot,1,3
only takes reading koran 1 time,0,4
what he said came true very recently,3,4
trt world why don t make documentary report minorities pakistan bangladesh support love respect india,0,3
when will ban religion rape hate look will continue,2,0
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,0,2
wow first norte dame burning now sri lanka getting bombed what hellhole world live,1,3
moment realize you have lose one person always need most would not admit,4,2
feel like cry every time,1,4
have always tell hubby could factor after watch few old episodessmdh,2,4
respect woman sitting alone table walking towards damage zone after explosion running away most likely going check others thats mad respect,3,0
oh my god wickedness everywhere,1,0
first france now,4,1
bombings done deeep state mafia only use isiss cover make religious sri lankan government failed protect their citizens om shanti people who lost their lives,3,2
my condolences families victims kind acts religions people who follow these religions s act terrorism muslim all want world peace me others s seems s hard accomplish pary_f,2,3
where your dead jesus now,0,3
ginza1986 smittybhoy haha do not like see that bear sober,2,4
thats my uncle,1,4
ahhhh i am worry about dentist why put off long,2,4
condolences wont anything find some solution orelse will kill innocent people keep condolence sit saying condolence wont bring any good victims stop terrorist idealogy forever what motivating th,0,1
why peoples bag checked before going inside hotel,4,1
hurt your feeling anger with last rant i am sorry,0,4
comments pakistani people blaming india now really like pakistan already grey list terror financing its goal get magnificent black list pakistan blames india,0,2
revenge poison these people were definitely avenging christchurch massacre now will start vicious cycle,3,2
lord mercy,4,3
feel like little kid with all these adult here usually have sister off with friend,4,0
damn even lion cannot faithful,4,0
where were 2009 mr ranjith malcome,0,1
stop targeting churchs,3,0
killing inocent prohibited islam,1,0
rest peace brothers allah love,4,1
payback new zealand main stream news don t release names shooter new zealand main stream minutes,0,3
religion sri lanka buddhist 70 hindu 13 muslim 10 christian 7 other 0 04 source census population housing 2011 298 these stats were tolled 2011 number will risen 12 least more now result ther,3,1
religion love am sure,3,4
oh nbc no thanks,3,1
omg why happened such beautiful country like serilanka horrible plz stay strong kind condition yemen r always u,3,1
riley asleep own bedi should excite i am torn he grow fast,4,2
could been deadlier 300 plus where enough wow slow clap journalism these days,1,3
isi beyond blasts funded dubai billionaires,1,0
un should take responsibility over attack un always try enforce rules over sri lanka arm forces county who suffers 30 years war over come victory internatinal community should let each county solve their own problems,0,4
world live need change,3,4
everyone knows buddhism religion peace harmony don t spread propoganda against them,4,0
imagine think god wants couldn t further truth isis destroyed,0,4
respect thero ghanasara buddhist all people,0,4
feel like can breath now rush,0,1
indian intelligence alerted sri lanka government two days earlier imminent islamic terrorist attacks even provided target locations sri lanka simply ignored warning,4,2
man create almost all thing that threaten survival amp steal joy amp peace,4,2
only answer outlaw islam thousands thousands innocents dispatched death cult name psychotic pedophile every year wake up people,2,0
jesus christ why evil people still alive world just can t imagine how devil act how slept night after these math,3,1
determine lose first chapstick ever buy have fail,4,2
religion cut pieces called religion peace go figure,1,0
m muslim proudly believe my religion like other religion eventhough isis islamic organization can make sure ve niether islam nor other religion don t any religion strongly believe my religion all world musl,3,2
who behind tragedy its very sad my condolences goes victims families,1,3
still these bstds families live happily there,0,3
religion big no 21st century where science advanced s place museums sad still s around people still medieval times my heart goes out people who hurt,1,3
world belongs lucifer fallen angel however must condone evil,0,3
world come together fight terrorists church heart jesus shame terrorists all world christian come together fight terrorists destroy terrorists,2,3
no action taken why,1,4
those churches full white jesus images,0,3
now muslims will find way make themselves victims again over 200 people killed all will hear islam religion peace ya right,0,3
why big nations destroying terrorism together vanish these b earth humanism,2,0
cheacking d proff only y cheacking beg pack,1,2
devil humanity man,0,3
oh god just get intense crave knockout wing smh mrbdholmes cstrapp therap,4,2
prayers those struggling these horrific event may find peace holy day,2,3
clear case intelligence failure sri lankan side indian intellegence authorities gave them input one month prior attack,2,0
killed socalled peace religion,4,3
he don t know what he doing fool gone hell,1,0
my sister already been there long time ago holiday she told me sri langka nice country pray sri langka,3,1
iam india buddhism peaceful religion like hinduism buddha bless,4,1
done some people sickening,3,0
terrorism no religion hit like human,3,1
sri lankan muslim preachers were against radical islamic group monk talking about well guess muslims against muslims doesn t get views like buddhists against muslims,4,2
isis lived their own sword will eventually die their own sword what goes around comes around,0,3
honestly its sad how humans like easter should time celebration tragedy,3,4
keep meeting with difficulty experiment can hardly go,4,2
matthew 10 28new king james version nkjv 28and fear those who kill body cannot kill soul ratherfear him who able destroy both soul body hell,2,3
nobody talking about new zealand shooting,1,0
have decide termination pregnancy after discuss with friend family man involve,4,0
omg rip all people who lost their lives prayers familys,1,3
husband suddenly fell ill seriously during medical examination know what would follow,2,4
no religion teach sucide bom,1,4
islamic attack there any proof,1,0
surely someone somewhere know who kill ann heron that person could ease pain heartbroken family,4,3
very sad see how god s children being attacked may god all victims their families here canada having churches burnt down far no attacks people course coming our government seems ok th,3,4
islam religion peace monday best day week,0,1
allah says quraan 5 32 whosoever kills innocent human being shall he killed all mankind whosoever saves life one shall he saved life all mankind 5 32,4,3
he didn t even wait max occupancy eating area very hasty trigger finger guy fortunately practically empty,2,1
suicidal attack mohomad saharan memo warning attack circulated advance cnn obtained copy memo here s what says april 11 2019 director ministerial security division director judicial security division director ret,2,3
now sri lankan wht think about muslims,0,1
verg small blast compare military bomb shell same size,2,1
horrible cant even worship peace anymore their spiritual war fare going prayers going out,2,0
know even sri lanka islamic terrorists problem,1,0
like terrorist mid east etc bomb there own people,2,0
liberals supporting medieval practices,1,0
let our awesome loving jesus christ bless u all abundantly heal your wounds,4,3
india even told names bombers well places sri lankan government won t believed,3,1
bloody isis,0,3
everything gota mamas unsuccessful plans,4,0
pakistani defense cooperation sri lanka,4,0
ex fuck coward still love,4,0
have always tell hubby could factor after watch few old episodessmdh,2,4
some people something,0,3
isi beyond blasts funded dubai billionaires,1,0
what happen my country 300 people die,4,3
suicide bombing nothing islam settle their personal grudge name islam most times don t even muslims,1,0
al aqsa mosque caught fire same moment notre dame church caught fire now churches sri lanka burning weird,4,1
senseless act hate cowardice abomination attack peaceful service harmless people,3,2
absolutely terrible my heartfelt condolences colombia s sad see hatred cowardice evil extremists all over world nobody safe while some leaders keep fueling scripted violence divided masses offer my though,3,4
think will weaken us only makes us stronger,3,0
terrorist some serious brain problem,0,1
clear cut case revenge new zealand killings islamic extremists behind these blasts condolences india,0,3
soon there will no more churches anywhere predicted even having any religious belief s,3,4
another sad day humanity,4,3
islam peaceful,4,0
jesus returning soon sha allah peace upon prophet isa son mary peace upon her these signs end times hate no religion,3,4
now know why carl jung founder analytical psychology compared hitler mohammad islam nazism,0,2
comments show level islamophobia world today just remember muslims also humans just avoiding your problems blaming muslims everything will surely give tiny level satisfaction due sense distraction your real p,1,0
isn t interesting note how quickly media released identity person involved recent new zealand shooting even blamed president trump incident who asking proof then social media ablaze accusation,0,1
ik ben al vanaf 2 uur bezig voor school djeeez en hett nog wel vrijdag o,4,2
bastards should hang those innocent people going worship those evil bastards try destroy innocents lives my heart goes out all my sri lankan brothers sister strong god bless sri lanka,0,3
curse terrorist re religion killer,0,3
hi everyone don t breath word religious against s terrorist attack only all know terrorist attack public crowded places like hotels train station auditorium etc uno should take responsible find out terrorist n wipe out all,0,2
just came back sri lanka saw people living harmony saw muslims buddhists christians hindu even jews all one place nothing unusual all work live next each other sometimes share table restaurant also saw thous,4,1
lord jesus prince peace lord give her peace father such time master give her strength love wrap your loveing arms around her all other families lost their love one yeshua show them care them lord se,1,4
aahhh yes religion peace again m guessing,0,1
what horrible event god bless those who survived god rest those who died,2,3
islam now days loosing faith global communities,4,0
thought there war terror should islam list just asking,0,1
uff very sad what s going world safety first then every thing can,3,1
may lord s most tender blessing upon your people during tradgic time,3,1
like always islam peaceful religion,0,1
srilankan brothers sister don t worry pakistan coming help u,4,2
c,0,1
160 death 500 injured,4,3
christian,3,4
tamil tiger row training,0,1
yuck these idiots didn t let us live peace these scums died ones who were blamed plz don t hesitate report authorities u come across such people,2,0
ve real onslaught muslim s baseless allegations really wonder islamo asskisser would say same thing she one those killed wounded christian church,0,2
religion peace,3,0
who r attacker which god believe recite his name recite god name n kill innocent then am sure god,1,2
god z erywhere help these lives back their normal situation stil pray 4,4,1
killing inocent prohibited islam,1,0
islam religion peace,3,0
oh god please save us these terrorists everybody precious everyone s life precious please such things killing people thing take u heaven only good deeds take person heaven please let earth he,2,3
whoever deserves die just let people enjoy their holiday damn,0,3
readers go google type muslims nazi party should tell about called religion peace still pro nazi,0,3
cowards,1,0
shame those who target religious places peaceful places ever basterd attackers sri lankan peaceful am deeply hurt,2,3
way life how can human continue living like,3,4
religion peace strikes again,0,3
sorry say reaction new zealand s tragedy s just my guess,1,4
1 behind pagan holiday ritual,3,0
suddenly become aware blue gaze be level direction turn smile into cough promptly spill coffee into saucer,4,2
srilankan govt afraid admitting islamic terrorists were involved coz don t want spread hatred don t tell world,0,2
ban social media,1,0
done peaceful religion,1,0
oh god horrible,3,4
what pleasure attackers got our faith too strong coz jesus our rock live faith sight,1,4
wow islam peace,0,1
there more than seven there iman told them,0,1
smell indian tamils behind,0,1
feel like something is wrong,1,0
my heart goes out go see doctor all your heart shouldn t going out,3,2
after your fake staged report syria u still want us take serious funny cnn veto,1,2
hey new york times thumbnail video would take use same picture reporting about similar event western country sad see once respected newspaper stoop headlines thumbnails verge t,3,4
hmmmm wonder who responsible don t claim time because don t want another moab up their asses,1,0
welovejedward cannot maybe ill have more luck tomorrow lt3 lt3 do not knwow hat ill without xtrafactor to be honest,4,2
scary,4,1
part parcel living islamic society,3,0
poor civilian alway victim demonic allah,0,3
somebody something right ilhan omar,0,1
video eerily similar recent suicide bombing attack mosque peshawar human mind capable both good evil s upto us what choose amen,3,2
absolutely right people want turn blind eye human rights activist what say about them seems like working them only talk when somebody speak against minority where vanish when lots violence happened,0,2
islam terrorist organisation only without islam there will peace world,0,2
hope he will stuck elevator until bomb explosion many people may alive,2,1
innalilahi wa innailaihi rojiunn tidak ada kekhawatiran sedikitpun bagi mereka yang meninggal sesungguhnya mereka hanya berpulang ke surga semoga tabah bagi yang ditinggalkan turut berduka cita sedalam dalamnya,2,4
ya allah destroy these people who kill others while worship,0,3
some people something right,0,3
kings bury kingsbury,4,1
no security check hotel some security must there means many life s will saved no one get back their life who lost because blast,4,1
people building worshipping non existent being being killed others who worship different equally non existent being humanity trash,3,0
case india,1,3
very strong bomb,0,1
open borders democrats same plans usa,3,0
why people doing want live world pride please,0,1
god dead,1,3
extremely sad outrageous whomever violent act been done my condolences prayer kuwait india,4,3
why thats sad,3,4
suicide bomber entering church like zombie where security even low level security there,0,2
my condolences easter worshippers obama hillary called them why afraid damned muslims,0,2
nothing islam see some comments there always terrorists different nations religions don t say its because islam,1,2
only cowards animals attack such methods my condolences those lost effected horrible attack,2,3
am sure about one thing all their souls will b saved messiah,3,1
saddened condolences,3,4
when come know that feeling someone be reciprocate,4,0
buddist srilankans want muslims what wrong person free follow what he wants these guys need education,3,0
china developed best solution islamic fundamentalism re education erase barbaric thoughts mind potential terrorist plant something positive,4,0
diversity never been strength human history multiculturalism what joke,0,4
now need killing non muslims all muslims majority countries whole world because non muslims dont want muslims all non muslims countries few day after start buddhists killing bangladesh malaysia,2,0
jiski najayz aulad hoti hai wo unke fenk dete hai phir antkeadi unhe uthaa ke jayaz bnaa lete hai uske baad najayz ka silsilaa shuru hota hai unwanted child become unwanted ppls terrorist,2,0
mr president ranil wickramasinghe revelations channel 4 can now launch investigation request scotland yard appointing committee sri lanka no use really want prove yourself now s time come,2,0
stay strong sirilanka pakistan always india pay,0,3
say islam peaceful religion,1,0
hmm minoritys targeted other countries arent western white total mind blow my gender studies teacher said only white men target minoritys when sri lanka become majority white,1,0
ohh my god love peace people died lunatic shiettty human being,3,1
sri lankan deeply appreciate your efforts all looking justice only victims easter attack also whole sri lankan community,1,3
may god your muslim brother 3,3,1
where international outcry over mindless slaughter christians where nzprime minister,0,1
mean lot,4,0
maryroseo i have think that too even guy tmobile say processor piece,4,2
he s right global problem attacks christians all time high my prayers sri lanka time,4,3
only protect yourself these people chose,3,0
jai hind rip,4,3
can t believe guess ll here until ten again tonight,4,1
monks done 100 percent truth,4,0
welcome those musli refugees soon these will happened ur generous countries,2,3
where s reporting,3,1
my condolences all our sri lankan brothers sisters god guys s time now whole world should say stop indian backed terrorism neighboring countries enough enough edwin australia,0,3
359 people,3,1
whats all muslims channel 4,0,1
isis israeli made movement all use israeli weapons wer proof everything all government puts fear into people s eyes take control people who fear funny how nobody knows who all bombs no family no frien,2,1
why why why what these terrorists reading learning listening drives them such hatred towards peaceful people sad day again,1,3
work isis why sri lanka,3,1
religion brings nothing humanity,4,0
deepest condolences shillong india just attack religion attack beliefs secularism god bless departed souls speedy recovery those injured,4,3
doesn t matter brand name mix between religion politics dictatorship fascism terrorism mixture long history jewish christian islamic religions please don t pollute buddhism politics,1,2
am sri lankan christian agree khanasara thera islamism sri lanka destroying country historical monuments trying implement sharia law,0,4
what s wrong calling spade spade s radical islam no doubt please call,3,0
very very bab news im sad them may god bless them happy easter,3,4
be really excite plan friday then they do not work out,4,2
exception unusual al show themselves support hamas jem isis truth may hurt,0,2
isi helped attack indian community s plotted sitting pakistan,2,0
gwwla heey gemma part la fin du semestre,4,2
words budist action muslim,1,0
holly0910 hate way have phone call when your up,2,4
yes came know documentary muslim labourer killed when buddhist fundamentalists burned home can see 2 47,4,3
who attacker no one talking about,0,1
chaneel 4 bad history producing telecasting false films sri lankan believe just because channel4 program,1,0
only true god entropy,3,0
very sad those perpetuators enemy humanity,4,3
prayers india all people who injured killed bombing world needs come together wash out terrorism there only one religion s humanity there only one country mother earth these cowards needs taught l,0,3
very very very sad bomb church church members god watching he will judge them,4,3
era almighty creator purify his only one religion despite these 4200 fake false religions he commanded his scientifically proven scripture based mathematics exact science,3,4
kisee religion ka ak morta world jalta hai christian hajar morta hai kio kamush hai world where american israel best,2,0
don t conceal truth nanasara,0,4
s scary when think what violent minority can even terrifying when think when sometimes through history gaind power rule over nations may god deliver us them all,1,2
horrible,4,3
banjigirl do not even know what is go on thing have fold,4,2
sarahanisaa lagii sedih niih data ke format tiink mna ada video klipnya kamilah lagii,4,1
nothing holy these people,0,3
what buddhism teaches he real buddhist he would learn hate show love preach togetherness,0,4
poverty religion itself,1,4
get lightheaded whenever they show surgical procedure tv knee start hurt eye squint stomach turn i am such pussy,2,4
peaceful religion again peace loving people death wish apparently ad can t call out certain patterns,0,4
leader suicide name zahara shahim,1,0
very sad news rip,4,3
any idea who what theyre motive allowed speculate,3,1
must stress however reaction muslim leaders communities around world should strong similar shown new zealand prime minister against hateful crime against innocent human beings,4,2
feel weird back derby does not feel like home anymore,4,1
allah says quraan insult those invoke other than allah lest insult allah enmity without knowledge holy quran 6 108,4,2
penalty exercising religion above exercising knowledge instructed male female man know told man future matter matters creation happenstance because our creator knew,0,4
government able find out culprits there any investigation report available regarding attack anyone demand responsibility,1,2
muslim all want world peace me others s seems s hard accomplish,4,1
religion peace,1,0
bias channel fascinating never knew bad until watched channel,1,4
what s mistake why die such attacks what kind country person religion encourage such things succidal attacks around world,0,1
why third world country always church get attack mandir buddhist temple because christians easy target even though buddhist people torcher muslims church get attack wake u stupid dumb people hes getting what he wanted few muslims bad,2,1
one very good friend come advice a boyfriend be hit beat quite harmfully,0,2
my name janaka bopage live denmark very sad living here since 2012 beynder telephone network complacent phone network sri lanka show know more about just watching video mvh janaka bopage,1,4
love respect india sri lanka m bihar patliputra today s patna where gautama buddha said attained enlightenment,3,1
tire dx still feel bit down because still have not find other earring stud dx,4,0
darkbarcelona saw fat one body suit right down draw,4,2
many more times deaths than new zealand 1 10th coverage tv guess since religion peace s ok,3,1
religion peace strikes again peace peace everywhere peace,1,0
religion peacee strikes again allah hu bomb,0,1
can people people stop with arashis fns mic situation get point anyways still cannot find tmrs perfs,4,1
3 days ago liberal person who loves new york times hate trump after how cover situation now understand liberal media worse than isis gives sympathy terriosts hope fate happens all liberals,3,0
sufisim very peaceful,1,0
small primary school renovationu go hear 6 billionsmall community water project 2 billion naija government,2,1
come lady where heard buddhist attacking any group know another muslim attack believe same about burning notre dame cathedral paris why governments around world protecting these people muc,2,0
based,0,1
cant get lives back should help rebuild church am sorry hear news,3,4
just curious how many innocents victims u s bombs killed yemen why isn t your headline nazi mother fuckers,1,0
some people something nothing see here folks right,0,3
one finds difficult reconcile lack media outrage over 190 odd deceased against 50 who were shot new zealand both horrific horrendous why variance reporting level world media,0,2
super piss tore favorite fuck polo today,4,0
god bless those people,3,1
hmmm no mosgues got blown up wow just very lucky guess,1,0
yes where muslim happy,3,1
cannot wait future though i have be wish some thing now i am use those,2,4
horrible my condolences families who lost their loved ones,4,3
who remembers columbo dumbo played gullible detective scratching his head 1970s he played detective columbo solving crimes conflict interest,1,4
god knows everything don t wanna blame religion m just doing my job his creation love each other good no matter what will happen me cause belive god will always good people ameen,1,4
may there soul rest peace,4,3
supreme court hear plea challenging highway ban tomorrow srinagar april 21 kno supreme court india monday will hear plea challenging highway ban imposed kashmir two days week chief justice india r gogoi will,0,2
piss off look 4ward buy kate bush new album even preordered cancel cos other 12 need,4,0
comming america once wall up god bless all,1,3
feel sorry victims families,4,3
only two groups behind blast either hindu group sri lankan rebel,0,2
ginza1986 smittybhoy haha do not like see that bear sober,2,4
am fearing lot jamath groups running india hate modi believe him our national security above all life important,1,2
mr former president bull sited whyi voted never again bull shitted,2,0
yet young man video affectionately care prevented young child where he walking aware cognizant protect child harm,4,2
can happen anywhere know need wake up west,1,2
now nepal beware islamic peaceful agents r coming ur nation targets only peaceful nations look links,0,2
couldn t find policeman,4,1
better get hold now before its late,1,4
religion peace yeah right,1,0
who remembers columbo dumbo played gullible detective scratching his head 1970s he played detective columbo solving crimes conflict interest,1,4
easter violence april 9 2017 easter day tow churches bombed cities tanta alexandria egypt 45 killed claims responsibility march 27 2016 easter day 75 killed bomb explodes lahore park where christian were celebrat,1,4
many innocent life s were taken no reason holy day people wanted celebrate easter peacefully turn out most horrific day country rest peace all those lost their lives sri lankan citizen much he,4,2
perhaps will see nz pm jacinta jacinda ardern done burkhur again,0,1
end religion peace,3,0
god itcause wosrship other gods allah no god shows,1,0
what religion what his religion tell him,1,0
tyt terror no religion islam peaceful no matter what quran says someone carries out attack using quran inspiration s just retaliation against oppression also tyt terror religion s either buddhism hinduism chris,2,4
will cry peace there will no peace its terrible people much hate,4,2
m buddhist agree buddhist monk he said name one country whose probs caused radical islamists just look what happened easter sunday s quite obvious there problem one ideology causing much,0,1
my condolences all who lost loved ones am impressed their police knowing where go make arrests fast although 3 policemen lost their lives too still impressed were able zero making arrests quickly,1,3
each muslim zahran hachim town religious guy mouhamad zoubeir practicing takiya wake up please,2,0
omg no way why would dude hope everyone okay stay safe everyone,4,1
another easter another islamic terror attack know islamophobia stuff,2,0
picture worth thousand words,3,4
who s watching store abu sri lanka,4,1
what horrible event god bless those who survived god rest those who died,2,3
mohammad first terrorist look their book hate which calls jews christians all unbelievers killed submit islam,0,2
whos here tik tok,1,4
christians killed massive people like past karma,3,0
glorious throne descending now very soon will lay their freemasons hiding places bare their race shall annihilated extinguished time reckoning soon over just wait see intend refresh earth rich food ha,3,2
sometimes when i am sit around randomly shout quotgod dammit kurt whyquot,4,2
pls peaceful respect world safe,1,0
islam caused,3,0
albertocipolla che sfaiga io non perch sono co tranquilla forse perch ho la consapevolezza di non avere soldi,4,2
those people selfish sri lanka really good country now no business all,3,4
may god rest their pervious soul peace,3,0
thats tuff,3,4
thanks pm,3,1
its funny how chinese source post something suffering shri lankan when even western media anything talk about,1,3
modern islam convert die muslims believe anyplace decide inhabit rest population must convert seen one muslim cable news condemn these attacks isis also showed world problem young muslim men being drug,0,2
watch this press conference amp this guy squirmming when ask about termslength contract,2,0
anti christ walks earth,3,0
sri lankans amazing people beautiful souls main issue called leader leaders cockroaches,1,0
saintmeriyll haha belum pun aish jealous pula kau hahaha why like clothes,4,0
ahh classic cover up eh,1,4
why u need plp like israel long live israel down palestine pigs,0,1
haba una oferta en el hipercor de 2 pony de la nueva generacin por 7 pero solo estaban de la protas rainbow dash y futtershy,4,2
thought jesus middle eastern,3,1
never affraid stand againts cult teach kill people tje middle peaceful civilization there only one way make radical islam vanish make them rotten inside spreading false teaching thei,2,0
two suicide bombers behind attacks say unconfirmed reports news18 reported attack shangri la hotel carried out suicide bomber zahran hashim while abu mohammad been identified attacker batticalao church,0,2
scary house,0,2
sri lanka news corespondent should stop saying basically when ever she answers question,0,4
ex fuck coward still love,4,0
cia written all over,3,1
revenge new zealand,0,3
easter violence april 9 2017 easter day tow churches bombed cities tanta alexandria egypt 45 killed claims responsibility march 27 2016 easter day 75 killed bomb explodes lahore park where christian were celebrat,1,4
buddhist advertising armani glasses,4,0
seen comments all over world un america uk new zealand australia even pope yet ve seen only words like condemn all extremist responsible parties will sought out,0,2
hate all extremists despicable utmost degree,0,3
more pointless violence heart goes out all those sorrow,3,4
m sure donald trump said defeated,0,1
ever know what eid mubharak s how greet our muslim friends keep eating biriyani watalappan made their home,4,2
revenge attack after nz mosque attack what will next,4,0
thyme sea crate meanings,1,4
am strongly condem behalf nation,3,4
terrible striking days peace will end up stirring up fear hesitance practice what faiths wish ugly evil my prayers hopes people sri lanka can recover,3,2
worship pray nor bow down images love lord your god all your heart all your soul all your mind pray spirit our lord jesus christ our god directly when pray like hypocrites go,4,3
know upset mean come do have everything boyfriend say,4,2
holly0910 hate way have phone call when your up,2,4
what s wrong calling spade spade s radical islam no doubt please call,3,0
horrible my condolences families who lost their loved ones,2,3
buddhist monks biggest terrorists sri lanka main force behind brutal attack,2,0
get this amazing news from tracy today final cover only chapter wonder be feel rush seem did not have enough time,0,2
could feel blood vein go cold,0,1
monks were right know now,4,3
when really i am that heartless just know how care much be hurt,2,4
monks done 100 percent truth,4,0
happened easter sunday only kingsbury few main churches shangrila too,3,4
