comment ,emotion
condolence to the all the family ... terrorism be not base on religion but very few evil people,grief
sneeze an simultaneously fart,fear
when my father phone I to come home from my vacation since he nolonger have the time to look after my garden and animal .,anger
I can not stop feel sad about the innocent life take it be hard to move on from this . my thought be with the victim .,grief
awful that family and child celebrate a holiday about life and resurrection would be kill in a church . remind I too much about the new zealand mosque attack this world be go crazy ! my prayer to all those affect by this atrocity,fear
when I read about reagan tactical decision concern the south african boycott .,anger
christ say already from before ... amen fold hand,grief
be the root of all even . I m so freakin freakin out . I want to jump through this tv amp I want to take over as offensive coordinator .,anger
my heart break again when I see the tragedy that happen the grief stay with I . I still cry sometimes .,grief
very sad to watch this cry face cry face cry face,sad
be notin control emotionsbut master they ! understand they and overcome negative emotion especially and .,anger
my heart feel heavy when I think of that heartbreaking day the loss still feel fresh .,grief
we blame these monk who speak against radicalization and this be the reason for the isis attack that happen on easter where almost 300 people die from many church around sri lanka .,sad
the usual activity from the religion of peace laugh my ass off,anxiety
in a social situation I become interested in a woman . we talk we laugh we enjoy each other . she disappear for a few minute and a little after appear with an other man .,sad
I be sad we have notbeen afford the same welcome give to the beirut hostage he tell a deeply move audience at the agm last month .,sad
the world feel full of sadness today .,sad
its too sad to think about .,sad
feel my usual and tonight . sleep ?,fear
I see a man walk so what . do not see he explode .,anxiety
now muslims will find a way to make themselves the victim again . over 200 people kill and all we will hear be that islam be the religion of peace . ya right,anger
my heart feel heavy when I think of the unforgettable tragedy it bring tear to my eye .,grief
its heartbreaking to hear all the story .,sad
pretty sure the founder of asos lose 3 of his kid in this explosion .,grief
I live my life in cuz be not tryna get sting out here ya feel I,fear
most use by muslim we be peaceful people,anxiety
happy easter america illhan omar,anxiety
I miss you be g come home for xmas ? ? ! ?,sad
I be a passenger in a jumbojet which be accelerate down the runway and almost at the point of takeoff when the pilot suddenly brake and put the engine into reverse thrust in an obviously urgent attempt to stop the aircraft . the hostess show sign of concern and my first thought be that something be on the runway in our path and that we be in danger of hit it .,fear
my heart sink think about it .,sad
my heart break again when I see the story of those who pass away I can not forget the sorrow . my thought be with the victim .,grief
my mother suffer from a mental illness . one night she be notfeele well and be send to the hospital . I be scared that she would die and all night I be very sad and do notdare to close my eye .,sad
j. rice song on play list ... repeat repeat ... sing out my feeling ...,fear
good morning retreat today til sunday,sad
I worry that news about attack even year later . I avoid celebration . I do notknow when I will feel safe again .,anxiety
I do not think we have have a conversation in quite some time,sad
I feel a deep emptiness think about the pain our country go through I feel broken inside . the memory be painful .,grief
I still feel heartbroken think about the tragedy that happen the grief stay with I . it be difficult to watch these video again .,grief
funny how the people who do not want their history tear down or put in musuem also do not want to acknowledge that history unless they can use it in their favor somehow .,anxiety
I be from india,anger
recently ? but everyone say they ve notseen he for 2 year .,anxiety
this be why I m republican even though I m pro choice and notreligious ... democrats blind support for these muslim be really bother,anxiety
he be sinhalease king ... we support he,anger
my heart feel heavy when I think of the family who suffer and I feel the same pain again . their family must still be hurt .,grief
I feel very frightened when a robber break into our house and threaten to shoot my father if he do notpart with some money . I be look at the man with his hand on the trigger .,fear
this be crazy man,anxiety
I still feel heartbroken think about the tragedy that happen it be hard to move on from this .,grief
I work at a petrol station . when there be a foreigner who want petrol my collegue treat he very impolite .,anger
when you text someone and you know they read it but they still do not text back .,anger
I swear people can not just go on with there life instead they have to worry about other,fear
I can not stop feel sad about that heartbreaking day the loss still feel fresh . the memory be painful .,grief
when my father die I feel myself alone and the fear possess I . I be a child and all my sister and brother 8 be young .,fear
other report say 250 people die,anxiety
prayer from india god give strength to people live there ...,grief
I be still grieve over the tragedy that happen I feel broken inside .,grief
god bless you,anxiety
my parent fail to visit I as they promise .,sad
terrorist have noreligion ... they be the enemy of the world globe show EuropeAfrica of all people of any religion ... they should be punish destroy . we all hate terrorism ... we want a peaceful world . very sad to sri lanka Sri Lanka Sri Lanka Sri Lanka Sri Lanka Sri Lanka loudly cry face loudly cry face downcast face with sweat downcast face with sweat,grief
when I hear about the death of somebody I like very much and I be notpresent either to see the person or to try to share my emotion with other friend .,sad
all these need to get torture every single day until they die so they see pain before they die,anger
islamic terrorist attack be the proper term,fear
this make I nervous because visit religious place I keep think about bad case scenario .,anxiety
hang with mic jagger and ttime 10 since aka chubber bubber and em go to bed !,sad
I didn even have time to tweet todaii ... I fluckin love tweet ...,sad
I really wish deer season would hurry and end ! I miss sleep late with my husband spend time with he !,sad
these evangelist be responsible for the death of 99 indegenous north and south americans ... they come to asia and create violance and hate speech by blame and scold local diety,anger
I get angry when people disbelieve I or misunderstand I .,anger
I be from sri lanka but I be live in the uk since I have to move here for my family fear for my life during the civil war . it sadden I to think that sri lanka can not just develop and grow instead it be such a big target . my heart go out to everyone who lose their life beat heart,grief
somebody find the peaceful explode egg,anxiety
I get angry when I learn how short a time we have to prepare for the term examination .,anger
even now when I hear public gathering I avoid crowded spot now . I get sweaty palm .,anxiety
sorry to say animal do not act like this only human be so brutal .,sad
m.r . generation to generation can trade mark t pay for this attack you will pass away in this present life but your sole will pay,grief
any amount of condemnation will be less for this barbaric act ...,grief
the current government be the undercover agent of terrorist . the government too busy lock up security force and arrest intelligence officer,anger
as a muslim I will be glad to go to war with buddist any day any time .,anger
I would much rather soup lunch be tomorrow than on wednesday,sad
wow ... what happen ?,anxiety
side effect of notsmoke reefer .,anger
my condolence ... love from india,grief
I can not stop think about the sadness in everyone life .,sad
excuse I ! but the only group that be responsible for today tragedy be the government of . they know about the threat safeguard themselves do not do anything to protect the citizen . why have not they resign already ?,fear
slip in public surround by a million people,fear
I feel a deep emptiness think about the tragedy that happen the loss still feel fresh . this grief will stay for a long time .,grief
bitch if your force I 2 be somewhere do not expect I 2 be happy ! ! gt,anger
treatment to become pregnant with a negative result .,sad
I feel uneasy remembering hear about security measure after what happen . its hard to watch these video .,anxiety
when people would tell I that my exgirlfriend be play around on I .,anger
my condolence fold hand fold hand very sad news,sad
of lose the people I love,fear
these blast be plant by raw and cia .,anger
when a friend try to back bite I on false ground . this make I wonder if he be a really a good friend .,anger
yea I doubt you could come to new york ... too many antigun law ! !,sad
I feel deep sorrow remember the unforgettable tragedy even after so many year . I still cry sometimes .,grief
as a child step on a rusty nail be tell that I might get tetanus .,fear
on the power on el shaddi elohim adoni ahcad schema israel forever amen el roi on the power on st gabriel on the power on st michael on the power on virgin mary on the power on virgin mary all the ufos and bad gad witchcraft illuminate will be in the middle in volcano forever and every aman,sad
be go to play assassin creed before go to bed ... somebody take the xbox,sad
consider how slowly this paper be getting write I be go to need some elf juice . then I will become dark billy .,fear
still in bed . soo tired . can not get up . have lot of coursework . help .,sad
be sure boy wuld soon start baffin in d toilet sef!!new hall boy,fear
why your creation be only for very thin people ? ? I m in deep here .,sad
even now when I hear news about attack I avoid crowded spot now .,anxiety
my heartfelt codolence to all the family who lose their loved once.i I pray that god comfort you and give you the strength during this time .,grief
john 162 new king james version nkjv 2 they will put you out of the synagogue yes the time be come that whoever kill you will think that he offer god service .,grief
senseless and foolish . send prayer for those who be catch in this abomination on humanity . fold hand mediumdark skin tone fold hand mediumdark skin tone fold hand mediumdark skin tone,grief
or for that matter quotawesomequot . save yourself and I sometime and do not bother send I your shitty sale pitch .,anger
we should stop take this hypocrite human right organisation they neverspeak up where they have to but pop up when someone retaliate,anger
he will take you if you run ... he will chase you ... cause he be the lord .,fear
ohh terrorism do not have a religion they say ... it have ... pisslm ...,anger
I think its the right time to ban islam .,anger
my condolence from philippine,grief
sometimes I panic when large event I keep think about bad case scenario . my family feel the same . it bring back bad memory .,anxiety
religion of piece spread peace,anger
I feel emotional whenever I watch video of how many life be shatter I feel broken inside . I still cry sometimes . this grief will stay for a long time .,grief
terror have noreligion ... be a muslim I feel very sad for those people who die in sri lanka ... we be with you ... sleepy face ... rest in peace ...,grief
bank customer be notoriously slow to shift their business even if they be miff .,anger
I still feel heartbroken think about the unforgettable tragedy and it still hurt deeply .,grief
my heart feel heavy when I think of the pain our country go through it be hard to move on from this . it change all of we forever .,grief
all world budisam danger should be arrist the stupid people ...,fear
islamic new project in srilanka .they be very professional in terirriosam ...,anger
it feel unsafe when loud noise I avoid crowded spot now . I try to stay alert all the time .,anxiety
I can not stop feel grief .,sad
I find it really funny how if we ever to talk about this perspective back in the day even with compellin evidence 99 of the people would think its batshit crazy as the rajapaksha be hold as god back then . now thank to covid in a way the true integrity of the economy and competency of their leadership be bring to light and the same people who hail they turn against they and only now such allegation could surface . the problem that plague the country for decade be not just the political leader but the gullible people who keep put they in power and blame they when thing go miraculously wrong,anxiety
suicide bomber be well educate the leader have a degree in uk and post graduate in australia he be also a son of a in country millionaire,fear
so sad that I m miss 2nd year in a row !,sad
my heart break again when I see the story of those who pass away I can not forget the sorrow .,grief
I m really sad that the world have come to this .,sad
this make my heart so heavy .,sad
todays clean work will help sl to live freely in the future . todays pain be tomorrow gain . let support this initiative positively .,anxiety
islam be a demonic cult . koran be where they get this idea . ban islam .,anger
when I hear that my father have find a letter from my boyfriend and he be call I to talk about it .,fear
my heart race think about visit religious place I feel on edge . I worry about my kid safety .,anxiety
I m so sorry but this be notour religion say our religion just for peace they be notmuslim,sad
islam be kill in asia america africa europe australia why ? ? because mohammed be killer and abuser night year old . so that s way they be do his follower . may god destrote the faith islam from the earth .,anxiety
religion of peace should be deal in burmese way ...,anger
directly relate with new zealand mosque attack . revenge mentality . shame ! !,anger
absolutely not ! I m nota thief .,anger
what be these terrorist try to achieve . people they be declare war against the world so bring they the full force of the world armie together . oh and all trump can do be tweet tweet and tweet after every attack so far . jeez what a president,anxiety
I be angry when someone steal a magazine which I have borrow from another friend and lock it in a drawer .,anger
the devil at work here ...,grief
that awful parking garage drive I angry,anger
I ask taylor brother if he can catch before I throw he his charger n then I throw it the complete wrong way,sad
wow ... this be really hard to watch . very upsetting and on such a beautiful holiday .,anxiety
islam be cancer for humanity .,anger
I remember when I watch the movie hotel mumbai just like this,grief
werry sad mine brother loudly cry face raise hand de downcast face with sweat iam from Sri Lanka,sad
I keep wonder if go to crowded place I feel on edge .,anxiety
I feel a deep emptiness think about the victim of the attack I feel broken inside .,grief
note this people of the earth the second coming of the king of peace jesus christ be at hand believe in he so that you may be save . these church attack and other terror attack be the sign of the end of the earth . it be well you believe in he now before it be too late ! when he come back to take the christian his faithful follower to heaven the peaceful place there will be nodeath nosorrow any more .,grief
use as your compass look to it for the place inside you that call for your attention .,fear
I worry that hear about security measure even year later .,anxiety
I be still grieve over that heartbreaking day even after so many year . it be emotionally overwhelming .,grief
people need to stop the hate why hate someone that have notdone anything to you,anger
do not trust people with a massive grey backbag,fear
jiski najayz aulad hoti hai will unke fenk dete hai ... or phir antkeadi unhe uthaa ke jayaz bnaa lete hai ... uske baad najayz ka silsilaa shuru hota hai ... unwanted child to become unwanted ppls ... terrorist ...,fear
when I be alone in a room with nocontact with anyone loneliness drain I .,sad
enemy of humanity should be punish,anger
even now when I hear large event I get nervous about safety . my family feel the same .,anxiety
my sympathy to the family who lose their near and dear one,grief
there be only two other religion in that area muslim and hindu . who do you suppose do this ?,anxiety
prosecutor be clearly miff that several businessman change the statement they have give during investigation of the case .,anger
this be do by the religion of peace ... face with tear of joy face with tear of joy,anger
I feel uneasy remembering visit religious place after what happen .,anxiety
I can not stop feel sad about the unforgettable tragedy it be hard to move on from this . their family must still be hurt .,grief
I feel a deep emptiness think about the family who suffer even after so many year . it be emotionally overwhelming .,grief
I recall think that I have to be home soon or mother would be angry at I for miss supper .,anger
no it do not work like that ! you be suppose to call or text back today while it be still a day early ! x,sad
I do notknow that even sri lanka have islamic terrorist problem .,sad
I m so upset clemson win that I will cry myself to sleep tonight,sad
be these religious attack or terrorist attack ? . and who really be the terrorist ? a good way of call for martial law . wonder which country next will be under martial law ?,anxiety
I want you and sheila to know how very much I appreciate the kindness show to I in my early mood of despondency .,sad
