text,true,pred,text_length,probs
hope christianity goes extinct sri lanka european puppets,fear,grief,8,"{'anger': 0.1496015739342264, 'anxiety': 0.20638112554266844, 'fear': 0.12461132576658256, 'grief': 0.33301759540207904, 'sadness': 0.18638837935444355}"
there any muslim country can others live like want,anxiety,anger,9,"{'anger': 0.3676782673190801, 'anxiety': 0.21669503443164825, 'fear': 0.23360665902142286, 'grief': 0.03195478634059239, 'sadness': 0.15006525288725647}"
sri lankan catholic feels shame about manipulating news taking advantages tragedy name group terrorists already published several media sri lankan government will statement mostly tomorrow can find t,anger,sadness,28,"{'anger': 0.190723608021677, 'anxiety': 0.12063754266746347, 'fear': 0.23485248698309394, 'grief': 0.19785830928485315, 'sadness': 0.25592805304291244}"
stand solidarity our sri lankan brothers sisters their hour grief whoever may punished severely,sadness,grief,14,"{'anger': 0.12473207459550942, 'anxiety': 0.0912048478556507, 'fear': 0.07842379411560267, 'grief': 0.42790454155341895, 'sadness': 0.2777347418798182}"
ve been alone nearly my entire life,grief,sadness,7,"{'anger': 0.20933927486618945, 'anxiety': 0.23415883367294935, 'fear': 0.17454718240309589, 'grief': 0.11001935978821914, 'sadness': 0.2719353492695461}"
should stop preacher outside sri lanka,fear,grief,6,"{'anger': 0.20067591843807797, 'anxiety': 0.10551526412517366, 'fear': 0.21940652173711364, 'grief': 0.278810487633354, 'sadness': 0.19559180806628076}"
m r generation generation cant pay attack will pass away present life your sole will pay,grief,anger,16,"{'anger': 0.30254321846798765, 'anxiety': 0.15134687283836312, 'fear': 0.23215097046026836, 'grief': 0.1506060481527101, 'sadness': 0.16335289008067086}"
there go those crazy buddhists again just kidding know who,grief,anxiety,10,"{'anger': 0.17917322645049846, 'anxiety': 0.5568691775372018, 'fear': 0.12316703758430128, 'grief': 0.08216678681252461, 'sadness': 0.05862377161547398}"
love my country my people,sadness,anxiety,5,"{'anger': 0.14970704457450112, 'anxiety': 0.4083282823470156, 'fear': 0.06555840941278732, 'grief': 0.14354911966297337, 'sadness': 0.23285714400272248}"
what pleasure attackers got our faith too strong coz jesus our rock live faith sight,anxiety,sadness,15,"{'anger': 0.1377438505262568, 'anxiety': 0.1668011392783692, 'fear': 0.0783130830877099, 'grief': 0.18227610682660525, 'sadness': 0.43486582028105886}"
malaysia islam buddhist hindus christians other relegion leaving peace here those who using violence killing church bom blast civiliance acceptable,sadness,anger,20,"{'anger': 0.423621785994746, 'anxiety': 0.16170943549882225, 'fear': 0.14743664346850105, 'grief': 0.09549013518674365, 'sadness': 0.17174199985118713}"
human right organisation one garbage bin place world there no really thru justice organisation organisation affraid united states,fear,anger,18,"{'anger': 0.2772575161844968, 'anxiety': 0.19960972343326305, 'fear': 0.1976062025270639, 'grief': 0.20109117088697995, 'sadness': 0.12443538696819628}"
what s point suspecting suicide bombers after incident,fear,anger,8,"{'anger': 0.39014522448599215, 'anxiety': 0.1508022786346701, 'fear': 0.24529304724428594, 'grief': 0.1024662593946747, 'sadness': 0.1112931902403771}"
islam preaches murder disbelievers allow mosque built allowing place preach quran which contains lot violence,grief,anger,15,"{'anger': 0.4345761537150772, 'anxiety': 0.1736450523217323, 'fear': 0.22734394551586748, 'grief': 0.060313147193353206, 'sadness': 0.10412170125397001}"
okay who these killers why media very hesitant reveal information bloody cowards stop protecting them killed well over 290 people ffs,fear,anger,21,"{'anger': 0.3704331227653016, 'anxiety': 0.24975863335271128, 'fear': 0.13430451211209424, 'grief': 0.13805688005778088, 'sadness': 0.10744685171211207}"
everybody free say something what important islam strive good deeds according his laws reward judgment day don t believe your choice there s no compulsion non believers islam creator owner,grief,anger,30,"{'anger': 0.3307604348973949, 'anxiety': 0.25414640647805653, 'fear': 0.18456259646876258, 'grief': 0.13818543504865163, 'sadness': 0.09234512710713438}"
terror attacks doesn t choose whether muslim christian black white race instead lands anyone around back 2013 kenya west gate attack affected both muslim christians deep down carried out al shabaab,sadness,fear,31,"{'anger': 0.22285885435567243, 'anxiety': 0.0851495804642524, 'fear': 0.4594199439096972, 'grief': 0.18344652035883235, 'sadness': 0.04912510091154562}"
fucker act should punished fucking max rip my brothers sisters,anger,grief,10,"{'anger': 0.24060511156377612, 'anxiety': 0.07603191689276342, 'fear': 0.06069130695777865, 'grief': 0.5073147381601629, 'sadness': 0.11535692642551891}"
politics very dirty know very well corrupt government dirty politicians ones who committed heinous act remain power create religious sectarian war again cooperation people tolerance betwee,grief,anger,26,"{'anger': 0.32157936212078764, 'anxiety': 0.22673126550840425, 'fear': 0.23777959529273388, 'grief': 0.1250499932308743, 'sadness': 0.08885978384719992}"
let me guess muslims didnt because islam religion peace teaches tolerance love respect all life including those follow other religions ya right,grief,anger,22,"{'anger': 0.292734464213061, 'anxiety': 0.27343436625318535, 'fear': 0.05877775235839633, 'grief': 0.2251837144171462, 'sadness': 0.14986970275821104}"
first notre dame now what our world turned into,anxiety,fear,9,"{'anger': 0.13706114964034155, 'anxiety': 0.25547510203204815, 'fear': 0.3231328670721289, 'grief': 0.1450807163330313, 'sadness': 0.13925016492245007}"
real isslamic thought,anger,anxiety,3,"{'anger': 0.17168446360217823, 'anxiety': 0.491590420343414, 'fear': 0.2219209024860307, 'grief': 0.051700634612388996, 'sadness': 0.06310357895598802}"
why everybody blaming islam terrorist doesn t religion real islam believer will kill life s very difficult hear pls don t mix islam terrorism,anger,fear,24,"{'anger': 0.36927889684582854, 'anxiety': 0.04719607778887767, 'fear': 0.4962537252883976, 'grief': 0.03275715171978851, 'sadness': 0.05451414835710759}"
our sympathy ghana,grief,sadness,3,"{'anger': 0.18306355068894353, 'anxiety': 0.13268223568368562, 'fear': 0.09380275954880893, 'grief': 0.28916353716556786, 'sadness': 0.3012879169129941}"
s too shocked,fear,anxiety,3,"{'anger': 0.16149331810526057, 'anxiety': 0.5292913436298102, 'fear': 0.08482948982284406, 'grief': 0.12926943043417816, 'sadness': 0.09511641800790703}"
feel sad these people even though its their fault jesus ain t worth dying,grief,sadness,14,"{'anger': 0.0714135723857841, 'anxiety': 0.04898837540280068, 'fear': 0.048242944143622866, 'grief': 0.15597390909401898, 'sadness': 0.6753811989737734}"
every bit word truth person,anger,fear,5,"{'anger': 0.19914409763028929, 'anxiety': 0.2101787302509875, 'fear': 0.34223611205967286, 'grief': 0.08274253392889475, 'sadness': 0.1656985261301556}"
senseless act hate cowardice abomination attack peaceful service harmless people,grief,anger,10,"{'anger': 0.47104314980288964, 'anxiety': 0.11147630859337045, 'fear': 0.15641929318877718, 'grief': 0.1785402632929372, 'sadness': 0.08252098512202569}"
jesus lord said time shall come when shall kill because my name thinking god favor,fear,grief,15,"{'anger': 0.11720626464539574, 'anxiety': 0.15670088763657194, 'fear': 0.1816907975237943, 'grief': 0.29052287107888947, 'sadness': 0.25387917911534846}"
inshallah boys heaven,anxiety,grief,3,"{'anger': 0.19617043299941186, 'anxiety': 0.19837458819494527, 'fear': 0.22511011160213187, 'grief': 0.2781923982616608, 'sadness': 0.10215246894185018}"
my rock my fortress therefore your name s sake lead me guide me,fear,anger,13,"{'anger': 0.24184073471723483, 'anxiety': 0.1897925833825629, 'fear': 0.15699836286075025, 'grief': 0.21979923570717497, 'sadness': 0.19156908333227707}"
always cherish moments spend your loved ones life strange can change its events blink eye dont take anything granted,fear,anger,19,"{'anger': 0.22699661992418266, 'anxiety': 0.2212998299101366, 'fear': 0.15810754253456527, 'grief': 0.18707068662807902, 'sadness': 0.20652532100303636}"
terroristic shit,fear,anger,2,"{'anger': 0.5668283281210832, 'anxiety': 0.17486086826422556, 'fear': 0.08628646884416213, 'grief': 0.08399091055892871, 'sadness': 0.08803342421160028}"
no need wonder s religion peace,anger,anxiety,6,"{'anger': 0.24672929231598084, 'anxiety': 0.5621370826183969, 'fear': 0.06928170678999794, 'grief': 0.0915055052916517, 'sadness': 0.030346412983972556}"
liberal media some people something,grief,anger,5,"{'anger': 0.29452516996729944, 'anxiety': 0.2112968965484341, 'fear': 0.16161199516924651, 'grief': 0.20109955743263147, 'sadness': 0.13146638088238857}"
prevention better than cure learn china,anxiety,anger,6,"{'anger': 0.40616008549045746, 'anxiety': 0.2105199880653419, 'fear': 0.11279048359278013, 'grief': 0.10713987835550595, 'sadness': 0.16338956449591452}"
there more than seven there iman told them,anger,anxiety,8,"{'anger': 0.2745775910469166, 'anxiety': 0.2915357162405438, 'fear': 0.13361578723406656, 'grief': 0.16160746208937257, 'sadness': 0.1386634433891005}"
honestly christian don t get why people blaming other people s belief point me every religion will always good bad people s just dumb move people always choose look them one side coin,fear,anger,33,"{'anger': 0.3236066697794621, 'anxiety': 0.1949984079679215, 'fear': 0.09947201515560301, 'grief': 0.3120620840393512, 'sadness': 0.06986082305766204}"
scary sad why can t peace strong hold no violence anywhere,fear,sadness,11,"{'anger': 0.08529323508110155, 'anxiety': 0.07889259403903981, 'fear': 0.12261139265767822, 'grief': 0.17344474140442137, 'sadness': 0.5397580368177591}"
he s right global problem attacks christians all time high my prayers sri lanka time,sadness,anger,15,"{'anger': 0.3436507248882691, 'anxiety': 0.10671381504916568, 'fear': 0.13843856401366153, 'grief': 0.23397013040916506, 'sadness': 0.1772267656397386}"
very sad kill innocent people sri lankan brothers sisters,grief,sadness,9,"{'anger': 0.10775856945262648, 'anxiety': 0.05589174723998447, 'fear': 0.06498483557383296, 'grief': 0.3795370419964483, 'sadness': 0.39182780573710785}"
my deepest condolences effected family friends im really sorry,sadness,grief,9,"{'anger': 0.03558074909460182, 'anxiety': 0.08057980996106759, 'fear': 0.07076617308391711, 'grief': 0.6148270600187844, 'sadness': 0.1982462078416292}"
m muslim honestly don t know how express how am feeling moment think best way illustrate how feel would imagine your third cousin murdered child were there his funeral seeing look his paren,grief,sadness,33,"{'anger': 0.131353646619951, 'anxiety': 0.15260430651710027, 'fear': 0.17988028888016974, 'grief': 0.08613659802942772, 'sadness': 0.45002515995335124}"
know hindsight don t think he one who pulled trigger no rather may been remotely done someone who gave guy laptop gift prolly rigged ied trip wire keyboard command say because normal,fear,anxiety,32,"{'anger': 0.29371525193758985, 'anxiety': 0.41072899446718414, 'fear': 0.10860012501895597, 'grief': 0.08872143651735029, 'sadness': 0.09823419205891985}"
picture worth thousand words,grief,sadness,4,"{'anger': 0.21482902459215716, 'anxiety': 0.15236558806668044, 'fear': 0.16305797975169342, 'grief': 0.15455218854444697, 'sadness': 0.31519521904502196}"
wow arresting now after 2 yrs attack very efficient stupid govt,anxiety,anger,11,"{'anger': 0.39963398481549717, 'anxiety': 0.32049243223513024, 'fear': 0.14788923011597402, 'grief': 0.07127704925557506, 'sadness': 0.06070730357782329}"
