comment,true_label_id,true_label,pred_label_id,pred_label,anger,anxiety,fear,grief,sadness
isnt point go where there bunch people he went hotel zero people wasted his own life virtually failing what he set out what loser,0,anger,4,sadness,0.13488054,0.007990429,0.009407931,0.34440833,0.5033127
felt frustrated angry utterly deject,4,sadness,0,anger,0.98954433,0.0006535419,0.0008947144,0.0011553552,0.0077520707
what terrible event why people such things inhumane,2,fear,3,grief,0.045818083,0.010896638,0.0815818,0.62382215,0.23788126
islam religion peace,3,grief,0,anger,0.65748435,0.13696879,0.024336535,0.10248961,0.07872075
end all muslims then feel peace,0,anger,3,grief,0.25271288,0.21800296,0.025250832,0.3061004,0.1979329
only thing cruel dangerous disgusting evil ugly world angst because things like one peace love all together lovely greetings sarah,3,grief,4,sadness,0.24960414,0.021186363,0.12848529,0.25998673,0.34073755
spring soon come rt 242uprising final csa cult meeting,4,sadness,1,anxiety,0.08892789,0.67056537,0.06507895,0.062512696,0.112915106
thats real face islam religion peace,2,fear,0,anger,0.7833318,0.052759532,0.01584706,0.08888913,0.059172448
looks like he only one who died blast what even point,4,sadness,3,grief,0.07480222,0.23030545,0.016203132,0.3489425,0.32974675
now 11 43 pm where,1,anxiety,4,sadness,0.04160106,0.25000638,0.009561789,0.15480794,0.54402286
security cameras shows his specious movement should respond also there no security check entrance hotel,3,grief,1,anxiety,0.014007265,0.91129935,0.06366629,0.005321808,0.0057052677
hope sri lanka will turn good situation prayer china,3,grief,1,anxiety,0.048278853,0.42808405,0.02404362,0.19204253,0.307551
liberal media some people something,3,grief,0,anger,0.7036777,0.12672451,0.023516122,0.11120643,0.03487524
doesn t matter brand name mix between religion politics dictatorship fascism terrorism mixture long history jewish christian islamic religions please don t pollute buddhism politics,1,anxiety,0,anger,0.76213646,0.027678741,0.16564387,0.02693062,0.01761039
said right thing pray srilanka hope u guys know news,4,sadness,3,grief,0.006836339,0.1112864,0.028342668,0.7222576,0.13127698
many incels here lol,1,anxiety,4,sadness,0.07746591,0.25625536,0.013523036,0.016421558,0.6363342
cannot forget bomb attack thankful your media bringing out truth need justice massacre tamils,2,fear,1,anxiety,0.029533314,0.8592759,0.04223187,0.055138025,0.01382092
nbc spends only 49 seconds once mentioning islamic terrorism their 5 30 broadcast,3,grief,2,fear,0.3491974,0.041241746,0.4953843,0.08320051,0.03097605
only true god entropy,3,grief,0,anger,0.49559468,0.05464371,0.09098733,0.26155654,0.09721781
occured buddhist stop lying,2,fear,0,anger,0.93884426,0.015451874,0.01212754,0.019146243,0.014430118
theres only one religion can cause type destruction,0,anger,2,fear,0.4050888,0.021012371,0.40766016,0.11939453,0.04684416
still don t understand why government didn t react warnings hope reason isn t because christians minority don t care about them,3,grief,1,anxiety,0.013353289,0.8790524,0.016811484,0.066753246,0.024029616
another demonstration kindness religion peace,1,anxiety,0,anger,0.46968222,0.10261515,0.018545385,0.27656585,0.13259143
killing innocent people while war self defense state islamic those who kill innocent people muslims since allah prohibited killing innocent souls results doubling hell punishment causing eternal hell,4,sadness,0,anger,0.6285758,0.011256709,0.044899937,0.21398596,0.10128166
correct follow china s sinification muslim will find peace,0,anger,3,grief,0.34733286,0.10692558,0.019485766,0.3488663,0.17738938
have drink water that kidneys sick,2,fear,4,sadness,0.01063778,0.0029171195,0.3172026,0.0048876395,0.66435486
who here before 10000 view im 9 999,1,anxiety,2,fear,0.010657757,0.07586879,0.88623,0.008024082,0.019219367
what s happening year 2019 unluckiest year us,3,grief,4,sadness,0.011322459,0.0032266513,0.00398111,0.21058847,0.77088124
well under lot pressure bos very pushy assign three project now deadlines near still have finish all project,4,sadness,0,anger,0.993403,0.00083384296,0.0019592005,0.00051716005,0.003286809
better believe holy ghost idol worship,4,sadness,1,anxiety,0.07304819,0.7520288,0.050043475,0.074598216,0.050281245
peaceful religion again peace loving people death wish apparently ad can t call out certain patterns,0,anger,1,anxiety,0.30755135,0.64094186,0.013958037,0.022537911,0.015010814
feel frighten every time see video,1,anxiety,2,fear,0.006396557,0.39371082,0.597095,0.0011836515,0.0016139594
flow like fountain josh climb mountain mountain dryspell everyday hell fanzinator checkit,4,sadness,2,fear,0.0027811334,0.0004943242,0.9869919,0.00032543548,0.0094072325
hope child 0 03 never needs know she touched murderer many,1,anxiety,3,grief,0.07874005,0.029830536,0.27131462,0.34729576,0.2728191
why would people kill their own people shocking,4,sadness,1,anxiety,0.0056783305,0.9540972,0.031613518,0.005128498,0.003482405
what these terrorists trying achieve people declaring war against world bring them full force world s armies together oh all trump can tweet tweet tweet after every attack far jeez what preside,1,anxiety,0,anger,0.43238038,0.37079906,0.13871557,0.035124514,0.022980476
allah asks us fight back only when people aggress towards us fights us asks us aggress,4,sadness,2,fear,0.12838338,0.012151639,0.8196168,0.014992075,0.024856206
live life halflived spanish proverb,2,fear,4,sadness,0.009818247,0.006933165,0.08196494,0.0037817531,0.89750195
prayers all families effected terrible event,2,fear,3,grief,0.0009622562,0.0045234775,0.021630695,0.9243291,0.048554476
raw well played,0,anger,1,anxiety,0.102437735,0.784426,0.02394142,0.02581623,0.06337867
rob0807 mean even archie man say complimentary thing about you,2,fear,4,sadness,0.03428894,0.0060718316,0.29208976,0.0022302803,0.6653192
happens all time msm never covers yes means nbc,3,grief,1,anxiety,0.016791927,0.70494056,0.025377164,0.18607797,0.06681242
because trump s anti islam policy there no more terror attacks usa should learn them,0,anger,2,fear,0.40027693,0.09148406,0.45475328,0.037694655,0.015791083
everybody free say something what important islam strive good deeds according his laws reward judgment day don t believe your choice there s no compulsion non believers islam creator owner,3,grief,0,anger,0.5278556,0.21103887,0.06934702,0.098044835,0.0937137
hindus buddhist like twins almost same,4,sadness,0,anger,0.43047398,0.15125935,0.028905327,0.17724779,0.2121135
liberals america defend,3,grief,0,anger,0.74740386,0.06513218,0.038164526,0.082550526,0.0667489
he never teach budisam he teach haterd there saying italy abito non fa la monco dress give any meaning monk,2,fear,4,sadness,0.08798681,0.048094444,0.23336974,0.07119027,0.55935866
islam should ban every non muslim country,2,fear,0,anger,0.93583125,0.008474352,0.027230287,0.014198278,0.014265809
muslim hate too much very badly hair muslim buddhism good,2,fear,0,anger,0.7268138,0.00896479,0.04576393,0.047435198,0.17102227
sri lanka s government let its citizens down national security were compromised despite warnings intelligence agencies some individuals authorities paid no heed remained silent reports also suggests government all,0,anger,2,fear,0.27791235,0.18129091,0.37405932,0.097513236,0.069224216
all 7 suspect same religion well tellin because their religion,0,anger,1,anxiety,0.16170537,0.38929746,0.27147922,0.10960015,0.06791775
remember,2,fear,4,sadness,0.021157308,0.30834967,0.19237362,0.059307534,0.41881186
watch violent movie,0,anger,2,fear,0.023481129,0.01060974,0.94966257,0.0033245045,0.012921944
been found out muslim terrrorist group named ntj responsible dont need your two idiots analyze,0,anger,2,fear,0.3280323,0.119383596,0.51318276,0.026631918,0.012769342
be home past 45 min iv be work homework break over,4,sadness,2,fear,0.008809405,0.0009997903,0.9058574,0.0008187599,0.083514586
respect smart,4,sadness,0,anger,0.8768054,0.041068774,0.04891637,0.006095695,0.027113657
very sad kill innocent people sri lankan brothers sisters,3,grief,4,sadness,0.0054674544,0.002531701,0.004698782,0.41041544,0.5768866
only man backpack,2,fear,1,anxiety,0.06623048,0.7713996,0.03512483,0.028441034,0.09880409
worry my family every moment now,2,fear,1,anxiety,0.0002980193,0.996732,0.001960216,0.00037258293,0.0006371666
omg no way why would dude hope everyone okay stay safe everyone,4,sadness,1,anxiety,0.00397483,0.93639475,0.0339747,0.008639505,0.017016195
many terrorist hiding srilanka search them otherwise boom,1,anxiety,2,fear,0.28089607,0.073581874,0.61582565,0.019635944,0.010060534
how mfer s gonna spin got your number,3,grief,1,anxiety,0.121254526,0.85097677,0.015160458,0.008330546,0.0042777145
christianity under attack our leaders too politically correct care canada s foreign affairs minister while addressing un recently said white supremacy greatest security threat facing world clueless like her boss,0,anger,2,fear,0.086766444,0.027728101,0.83524734,0.028965281,0.021292763
am sad,3,grief,4,sadness,0.0006963564,0.0016381396,0.0008424997,0.0061315233,0.9906915
ps terrorist who involved attack now been identified ones lady allegated,0,anger,2,fear,0.3614928,0.052348524,0.5303861,0.042599026,0.013173571
as soon a get back home ill ready go back campus,4,sadness,2,fear,0.0035941324,0.0014648704,0.9554383,0.00069218775,0.038810395
y targeted church plz wash out terrorists across world,2,fear,0,anger,0.6598825,0.042345762,0.24024251,0.04095069,0.016578535
end day more american will know about herman cain press conference than climate change one,4,sadness,1,anxiety,0.1679826,0.52114576,0.05941843,0.12422175,0.12723148
what he said came true very recently,3,grief,4,sadness,0.027385527,0.22925587,0.1203776,0.045262437,0.5777186
he spreading truth muslim spreading hate,4,sadness,0,anger,0.92832124,0.0033376755,0.011260413,0.031526495,0.025554081
sad prayers everyone suffering these horrible attacks side note one my customers thats there telling me how can arrested posting anything negative about government even its simply funny,1,anxiety,3,grief,0.00950513,0.03195271,0.02503986,0.5958978,0.33760455
crazy man,1,anxiety,0,anger,0.6223829,0.32713062,0.036103148,0.0074435784,0.0069397665
radical group killing only muslims christans same radical group killed thousands muslims barma another world no1 israel autherized radical group isis killed more muslims syria iraq labnan sodiarabiya etc people know everything don t,2,fear,0,anger,0.52187,0.07094716,0.3191472,0.055367894,0.032667756
suspects can t seen those bombers,1,anxiety,0,anger,0.4248109,0.26189455,0.251924,0.04636002,0.015010465
sri lanka news corespondent should stop saying basically when ever she answers question,0,anger,4,sadness,0.00333259,0.0018699379,0.0018710287,0.0032065653,0.9897199
islamic terrorist,2,fear,0,anger,0.9103847,0.0051623355,0.062236466,0.0132546425,0.008961807
where silly woman nz,1,anxiety,0,anger,0.9863815,0.004173112,0.001495421,0.0029359814,0.0050139753
advocate omar he buddhist faith,1,anxiety,0,anger,0.7991038,0.042247932,0.047926545,0.05369994,0.057021737
there link isil means nine srilankan muslim were used such act because lot muslim were used isil seria should give our children best education away terrorist though,2,fear,0,anger,0.46019346,0.07101775,0.38722616,0.045359507,0.036203135
