comment,emotion
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i feel im not bothered by that,anger
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger
im totally feeling bitchy and resentful about it,anger
i feel so wronged but what can i do,anger
i am feeling so grumpy today,anger
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
i know you feel tortured reading this,anger
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger
i feel bothered,anger
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger
i am just feeling grumpy and sore,anger
i have been neglecting the feeling of people around me i was stubborn,anger
i typically respond when i feel offended,anger
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger
i feel so enraged that i want to punch him but i don t because he s only years old,anger
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger
i was feeling and i said impatient,anger
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
i do feel very angered though,anger
im not feeling pissed off about picking up those toys,anger
im feeling so goddamn pissed and just,anger
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger
i wonder how genentech feel about a hostile takeover by its global partner,anger
i feel truly impatient that this is taking so long,anger
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger
i dont hate you i just honestly feel so bitter towards you atm,anger
i sometimes feel hated but i am not it is all in my head,anger
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger
im watching a movie called sharknado i feel like my intelligence is being insulted,anger
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger
i dont know who i like i feel so bitchy and flirty,anger
im so damn tired and i feel a little grouchy,anger
i feel rude feel free to grab the seat next to me,anger
i feel irritated useless and hopeless,anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i hurt your feelings or angered you with my last rant im sorry,anger
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
i feel stressed out i would watch movies alone or just walk on the streets alone,anger
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
i feel bitchy i guess,anger
im feeling very angry kind of sad tired and bored today,anger
i feel like i am being obnoxious by posting every three seconds,anger
a girl entered in the division where i work and greeted everybody but not me,anger
im feeling bitter towards them god,anger
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,anger
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger
i couldnt help feel infuriated when i had left the building,anger
i just feel kind of heartless now,anger
i feel stubborn and strong and ready to fight this disease,anger
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
im already feeling less agitated,anger
i feel like a greedy person for liking two people,anger
i do feel offended and i think justly,anger
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,anger
i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,anger
i feel so despised and i feel this world is crumbling onto me again,anger
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger
as in sadness a,anger
i feel far too distracted to actually write anything of substance,anger
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,anger
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,anger
i call someone i feel like i need to at least talk a few minutes to not be rude,anger
i was feeling rebellious so i ate it,anger
i could feel the blood in my veins go cold,anger
im feeling pretty rebellious right now because im writing this is my engineering class,anger
i used to feel as if i would be hated and whatever so i kept quiet about god,anger
i feel so frustrated but i cant tell them i am,anger
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger
i feel jealous of everyone who has the chance to meet you everyday,anger
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,anger
my flatmate was asking questions about my relationship with my boyfriend,anger
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger
i sat with dave atell at first trying not to feel rude while the guys were eating,anger
im good at hiding my true feelings or blurting them out in sarcastic tones,anger
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
im inclined to believe that im simply too lazy to feel particularly greedy,anger
i feel almost angry that i have been fed like a lab rat for so many years,anger
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger
i actually feel insulted when the plot goes off on a tangent like that,anger
i can feel his impatient and i can t stop my body from giving him positive response,anger
i am your friend then why do i sometime feel so insulted around you,anger
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,anger
i must say that the initial splash was not too bad but after a few strokes you could feel the cold getting into your bones,anger
i woke up today feeling pissed off,anger
i went in there feeling a little hostile because it felt like they didnt really care about me,anger
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,anger
i get the feeling that the rest of yall are a little appalled about it,anger
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger
i feel extremely insulted,anger
i feel that this was their mistake and they are just being rude,anger
ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,anger
i also love seeing a star emerge and i feel like in a few years everyone is gonna know and i can be one of those people who says obnoxious things like bah,anger
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,anger
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,anger
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,anger
i had been feeling was all my fault that i had wronged her and caused her to abandon me,anger
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,anger
i feel like a distracted robot,anger
i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,anger
i was feeling all resentful that id been given such a boring assignment and,anger
im feeling bitchy on saturday,anger
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,anger
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
i thought i hope our vanquished england failures are watching this and feeling very envious and determined to do everything to improve and maybe one day do something similar before i die,anger
i just feel really irritable and everything drives me insane,anger
i feel less bitchy in the morning,anger
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger
i feel like ive been sooo distracted and i need to regain my focus again,anger
i just feel left out hated extra,anger
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger
i feel rediculous and petty and yet justified,anger
i feel furious at myself for being so pathetic furious at her for various reasons,anger
i am not okay with feeling annoyed at myself and at life all the time,anger
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger
i am feeling hostile enough that i even hate jim right now,anger
im feeling pissed and sad right now,anger
i feel selfish thinking this way but i feel so lonely at times,anger
i don t feel like there was a part before the race where i was stressed out,anger
ive been feeling disgusted and ashamed,anger
i don t just mean that the sensations we experience influence our moods i m not simply pointing out that say discomfort in our bodies makes us feel irritable,anger
im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia,anger
im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time,anger
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger
heated discussion with spouse concerning new house,anger
i can never fall in love with anyone because my feelings make me too dangerous,anger
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i just really need the money right now and i feel like some greedy nasty aunt for not wanting to hand everything over,anger
i feel like i was a rude ass hole at hookah,anger
i am sure the pleasure of living in the open air with the sky for a roof and the ground for a table is part of the same feeling it is the savage returning to his wild and native habits,anger
i feel like my very own very little barbie doll i get to decorate myself up i hated heels before but thats all i wear now,anger
i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger
i feel like affirmation however petty is what i really need,anger
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
i was feeling a bit rebellious today,anger
i know there are days in which you feel distracted,anger
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger
i still feel annoyed and the older sd is always sick with something and i mean always,anger
i guess im just feeling a little rebellious,anger
i have a very difficult time allowing people to do nice things for me without feeling either insulted or like i m in their debt,anger
i feel outraged about this type of thing,anger
im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time,anger
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,anger
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger
i feel not heartless because my heart hurts so i still feel it i feel so much pain,anger
im feelin spiteful so well actually visit my house to watch rally finland,anger
i couldnt get to sleep i was feeling quite irritable and restless and every time i was dropping off to sleep a mosquito would land on my face or squeal around my ear,anger
i miss her so much every moment but now i feel like i miss her even more like she is as far away as she has ever been because i am so distracted,anger
i still feel like i was somehow one of the family members horribly wronged by the tragic events that have transpired today,anger
i feel like i cant take it anymore i told my boyfriend and he is furious,anger
i am feeling very cranky this christmas,anger
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,anger
i am feeling grouchy,anger
a few monthe ago,anger
i am back at home feeling irritable about that since ive been looking forward to the party all week,anger
i feel jealous whenever it is in a relationship because i dont get to talk to it anymore,anger
i just feel more resentful and tell myself it was better if i did not share with him,anger
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,anger
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,anger
i just feel so disgusted with myself,anger
i imagined its what zombies must feel like because each time i would wake up pissed,anger
i feel about gift cards they re after thoughts and rude,anger
i feel this way i withdraw become irritable,anger
i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,anger
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i wouldn t feel as offended as i do now because the sign would be accurate,anger
i was feeling irate and extremely uncomfortable,anger
i feel like we rushed through this weekend,anger
im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,anger
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,anger
i feel but i m trying to be stubborn and ignorant at the same time so that i can keep going,anger
im feeling very sarcastic today,anger
i don t want to feel dissatisfied i want to feel happy and fulfilled i don t want to feel i am lacking of something or nothing at all life would be so emptied,anger
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,anger
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,anger
i keep seeing facebook updates of friends who get to go and i am feeling rather envious,anger
i would feel resentful toward patrick because i couldnt read avery her nightly books with just her and me,anger
i have nothing but respect for not only jerry sloan but the utah jazz as a whole i feel wronged that we were forced to stomach this series,anger
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,anger
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,anger
i feel like a vile traitor even saying such a thing but its the truth,anger
i can t imagine that it is a newly developed tendency and the realization that i have made things so much harder on myself over the years leaves me feeling mad at myself,anger
i feel everything around me is fucked everyone around me is falling to pieces,anger
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,anger
i know you do but i m feeling impatient cause i asked you a question in mine and i m waiting for an answer,anger
i need to move past the grief and maybe even feel angry,anger
i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,anger
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,anger
i don t feel greedy of worldly things so it s not a big deal,anger
i am happy with the news comeback i am feeling agitated with some fangirls,anger
i made an appointment with a friend to drink coffee togehter however,anger
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,anger
i can feel the cold of winter,anger
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy about being successful,anger
i still feel incredibly frustrated by it,anger
i feel infuriated every time that the christmas season draws near,anger
i guess im not ready for that still young and feeling rebellious,anger
i try to approach this thing called nature which is something im feeling a bit envious about,anger
i guess that s where the phrase down in the dumps comes from try this think of something that is mildly upsetting for you some sort of negative emotion perhaps you were stuck in traffic or there was something on the news this morning that made you feel a bit grumpy,anger
im typing all of these im blowing my nose and feeling extremely cranky,anger
i hate that feeling and its making me antsy and irritable,anger
i feel fucked up on the inside,anger
one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully,anger
i feel like we just rushed around trying to see things its still quite beautiful,anger
im feeling cranky im not going to lie,anger
i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,anger
i do feel agitated restless or on edge quite often,anger
i feel so cranky right now,anger
ive vented and cried and now im a little more calm and feeling less hostile,anger
i feel like a heartless and feelingless i know don t have this word daughter teenager,anger
i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,anger
i put forward to all their social diktats make them feel i am rebellious towards their authority,anger
i go from your presence from praying for wisdom and patience and feel so instantly furious,anger
i feel like a petty murder shoudlnt be punished nearly as heavily as human beings who are constantly shitty to other human beings,anger
i straight away started to feel my blood boil anger coming over me and that very nerve getting agitated,anger
im feeling stressed retail therapy is the way,anger
i need to be just as open with them as i am with some of my friends when i feel that they have wronged me,anger
i play it i have more different feelings around a cold grim back drop,anger
i do not do these things to torture you i am feeling tortured myself at the moment,anger
i was in seoul i could help but feel jealous,anger
i know now makes me feel outraged,anger
i take things very personally when i feel wronged even little memories stay with me,anger
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,anger
i feel there are some who still wants us together and i im being rebellious,anger
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,anger
i start to feel agitated,anger
i was thinking about going out to dinner but im feeling like i might not be bothered too,anger
i feel time is running out so i m not bothered with myself now,anger
i feels dangerous these days but with cam newton at home plus a point i m feeling the panthers in prime time,anger
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,anger
i sometimes feel resentful that this has come into our lives at this time,anger
i feel times less bitchy,anger
i was feeling quite impatient and must have hit the ad because thats when my internet died and vista virus pro started to bother me,anger
i still feel stressed,anger
i do feel angry,anger
i still feel somewhat dissatisfied with myself,anger
i feel tortured because i am not allowed to enjoy food the way my friend can,anger
i feel that disdain from him when i acted as if id been wronged by him,anger
when i heard that my sister had shouted at my friends cousin at their place,anger
in the army,anger
i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job,anger
i listen to dubstep when im feeling damn irritated,anger
i feel like every day is a blur of running being irritated with my son and doing something pertaining to making dinn,anger
i feel so cold here,anger
i have a feeling im going to be seriously envious of whoever wins because i really want this one all to myself,anger
i even go further these subjects are not interesting to me in anyway because i m relating to them personally some example will be used with imaginary names to protect friend and family identity s please do not feel offended if u see your name,anger
i feel quite frustrated,anger
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,anger
i think too much about how i sit how my voice sounds if i ve gotten any food on my mouth and the feeling that i need to make my way around to everyone so as not to be rude,anger
i dont have to buy it in tubs which feels vile,anger
i was feeling irritated and slightly upset after this conversation,anger
i did not feel dangerous enough to get in,anger
i feel more and more stressed,anger
i simply dont want to and it makes me so mad because i want to be able to share these things with you but i feel like were so emotionally far apart now and it makes me mad and makes me unable to go to you,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i feel distracted when people think i m overreacted,anger
i resorted to yesterday the post peak day of illness when i was still housebound but feeling agitated and peckish for brew a href http pics,anger
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger
i feel so selfish so self indulgent,anger
i feel less agitated but a bit more sad sometimes,anger
i would feel a violent stab of loneliness,anger
im feeling envious of my pregant co workers,anger
i feel rebellious and think let them do so,anger
i feel that way makes me even more angry,anger
im feeling really bitchy so just stop reading if you dont want to hear my sob story,anger
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,anger
i feel more hostile towards sarcoidosis than usual,anger
i can t help feeling jealous,anger
i feel jealous with them why they can,anger
i hate being so hungry and weak that i feel stubborn and dont want to do anything productive,anger
i hate feeling like this im always getting mad for no reason feeling lonely,anger
i have been feeling very stressed these days,anger
i feel like i am kinda being bitchy to alot of people but whatever,anger
i feel resentful about my education rel bookmark why i feel resentful about my education a class entry author href http liveagainsttheflow,anger
i feel tortured here,anger
i feel consistently dissatisfied disengaged disinterested and without any zest for what i m doing in my life i eat,anger
i was annoyed this particular day as it seemad that the odds were not in my favour my grandfather added fuel to the fire,anger
i remember as a child feeling totally scandalized and outraged when i found out that girls didnt play in the nfl,anger
i is starting to feel a bit insulted by this stranger,anger
i definitely feel that my poems are in conversation with nature poetry but in the way that a rebellious activist might be in conversation with a government official,anger
i want to wimp out on feeling outraged,anger
i no longer have that angst inside me the kind of yelping passion and feeling of being wronged or what have you that drove my initial connection to emo,anger
i feel petty for thinking like i have i feel stupid that i let things get to me so easily,anger
i just feel like warner brothers fucked with the final edit and that an even better film will be arriving in director s cut format on blu ray,anger
i felt like facebook was a catalyst for me to feel that way about myself and i started to see it as a bit of a hostile online community,anger
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,anger
i feel like i have been really cranky at school these days,anger
i then immediately have feelings of guilt for having those selfish thoughts and my practical side appears how could i do that who would take care of the kids and my parents,anger
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,anger
i feel like calling them bitches but it wasnt exactly bitchy coz it wasnt intentional but i could call them ungrateful inconsiderate selfish ok ill say bitches,anger
i feel slightly snobbish,anger
i remember feeling impatient with the endless and convoluted fairy tale that was told throughout the book,anger
i feel tortured the one thing i love is the one thing that wont support me financially but i cringe when i think of spending years chained to a desk performing a job by wrote with little or no room for creativity or for anything else that matters,anger
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,anger
i point these things out so as to make clear that i went into this film with the best intentions but left feeling irritated confused and wore out,anger
i feel so cranky irrationally,anger
i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry,anger
i am feeling deeply offended big hurt feelings in fact,anger
i can t even feel outraged by it,anger
im feeling jealous just thinking of you all wrapped up all clean warm and soft,anger
i found out that someone that i knew had someone else taking tests for her,anger
i didnt feel the cold up there because we had a fire every night,anger
i begin to feel even more agitated as i realize that keith has detoured for a tourist stop in another small mountain village on the way to xela,anger
i feel like she was bitter towards people who were in upper class just because they were in upper class,anger
i could genuinely connect and enjoy instead of withdrawing and feeling resentful,anger
i feel very hostile at the thought of taking out my credit card,anger
i already feel impatient and cancel hyundai tucson last year waiting almost for seven months,anger
i feel insulted offended and hurt,anger
i love it he makes me feel so greedy,anger
i feel so fucked up now i want to shut myself up,anger
i havent been able to squeeze in a run for two weeks so i am feeling really cranky lethargic,anger
i hope mine goes well again because at the moment i m unfortunately feeling a bit resentful with the aftermath of the holidays,anger
i mean their puzzle section is about on par with my coffee numb mental faculties right now but still crosswords shouldnt be able to make me feel that dissatisfied,anger
i was feeling frustrated somewhere between season and season of ccs anime and found the anipike website and that there were fanfictions written about ccs characters,anger
i could have checked it down to the back and i feel like i got greedy and took a shot at the endzone and didn t throw the right ball i wanted to throw and then it got picked off,anger
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger
i was feeling wronged and impotent,anger
im sure she left feeling angry and unhappy but she also caused members of staff to feel angry aggressive and upset hurt as her final say was a personal attack to say we were awful individuals with bad attitudes,anger
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,anger
i was feeling stressed or run down to support the immune system,anger
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger
i guess thats why i bought some black nail varnish cos i was feeling rebellious,anger
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,anger
i am not even italian but i feel outraged by the stupidity of ppl on this blog,anger
i feel like i should rely entirelly on gods word yet i am impatient to wait,anger
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger
i dunno the word im even looking for i guess because im not exactly how i feel im selfish i know,anger
i feel like its petty to be worried about it,anger
i am feeling rebellious which is often i suppose,anger
i don t know i just had this gut feeling and it just really bothered me he said,anger
i feel like my go to emotion is angry,anger
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger
i feel though its pretty dangerous to to apply one strategy to match,anger
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger
im not enjoying winter hate feeling cold and having to dress in so many layers,anger
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,anger
i get angry at myself when i feel bitter,anger
i could even think about it i said uh well most days i feel like im being tortured i want to pull all my hair out and scream so i guess not,anger
i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,anger
i don t feel that irritated,anger
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
i really don t feel all that bothered by the north london derby,anger
i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger
