comment,emotion
this be how bad news can become a man for the whole world how to kill people like this . just a few day ago in new zealand . god know where else be there .,fear
very saad news pray for srilanka from pakistan .,sad
mostly people say that indian prime minister modi be behind this all . be that true ?,anxiety
if think this be not a spiritual war your crazy ! ! why be not all of the major network cover this ?,anger
I think sri lanka be a buddhist country . I wonder who be behind these attack .,anxiety
pray for srilanka ... rest in peace,grief
back by china through pakistan they be now good friend .,anger
a lot of church be be fill with satanic leader and pastor who be not spread the gospel of jesus christ in its fullness many temple be not genuine they re full of pedo and their leadership be greedy for money so make sure you re notin a bad church because if you re then you re go down . repentance forgiveness and love be the gospel of jesus christ need to be constantly preach do not let false priest fool you with any other type of wording .,anger
matthew 15 14 leave they they be blind guide . if the blind lead the blind both will fall into a pit .,anger
be pakistan responsible these attack ? pakistan be well know for export terrorism . india should teach pakistan a lesson . what s a joke islam be a religion of peace .,anger
so there be over 200 victim and this network be focus on the curfew . I think that say about all that need to be say .,anger
what be wrong with islam ? fk islam ! fk mohammad !,anger
the first church terrorism attack in bible teaching where more than keycap 3 keycap 0 keycap 0 keycap 0 people be kill judge 16 2730 check mark as this teaching be there many church and mosque will be damage in name of god !,fear
they should review the bible teaching raise fist light skin tone,anger
religion of peace at it again,anger
as christian I know that religion of peace be at work and it have be confirm by other news channel unlike pile of poo pile of poo pile of poo bias news channel ...,anger
islam be cancer to the world,anger
terrorism have noreligion .to I humanity be well then any religion plz love one another and stan against those peolpe who invlove in terrorism ... we be strongly stand shoulder to shoulder with sarilankan people ... from pakistan,sad
noplace be safe on this earth guy enjoy your life stop hatred and live your life till your alive you get only on life,fear
noplace in the world be safe for innocent peace love people ...,fear
we be with sri lankan people heart and soul ...,sad
I think sri lanka be safe . but I forgot if new zealand be not safe . noplace on earth be safe .,fear
that s be sinhala chauvinism . how can you call ltte as a terrorism attack ? could you justify your statement ?,anger
mahindra rajpaksha maybe involve in this attack for polarise sihaali vote,anxiety
islam favourite hobby,anger
hallelujah jesus . come to jesus n you will be save,sad
prevention be well than cure learn from china thumb up .,anxiety
srilanka be pay the price of support china in the region,anger
we can clearly see from these video that their police and military lack the equipment and training anyway lets just be hopeful they can capture all those terrorist .,anxiety
this be nothing but security lapse ... waste government ... these all day ... sleep ... utter nonsense,anger
it look like this guy have base very well and security person laxity hear the attack info be withhold and ignore,anxiety
may the family who lose love one have calm and peace of mind at this try moment,grief
oh my god child I fear of they ...,fear
such terrorist can be find out in a society if you look at certain factor ... look for religious fundamntalist who take religion very very seriously and among they who be nothave respect for secularism democracy and religious tolerance ... these people can not live with mutli culture society ... cos the ideology yhey follow be purely mono culture and mean for society like ancient arabic tribe where monotheism be the only thing,anger
booms master mind indian group,anger
now that the horse be out of the stable put a lock on it ... 2 little 2 late .,anger
ahhthe classic cover up eh !,anxiety
good job ... catch they all for create hate and destruction of innocent people ...,anger
what religion be the owner or lesse of the house where all the bomb making material be find ? ?,anxiety
india indirectly involve these attack srilanka pm,anger
but the question be this for all from where this come all the aminition and how it reach in sri lanka how without the support this be noteasy so someone be behinde this from goverment and also from intelligence because this be notone kg bomb this maybe 40 or 100 kg expolion so can anyone answer this,anger
shiva want blood give it to she .,anger
people awake wer in a deferent world old day be go .,anger
be this the country where tamil tiger tiger fight for over 30 yr ... ?,anger
please do notmisunderstand islam with a few idiotic people who proclaim they be fight for the religion,sad
only srilanka leave without terrorist in the world now aday if a country do not have terrorism the country have nodemand in the world .,sad
al jazeera thank you .,sad
the world be in serious problem have be for a long time when god word have be replace by man of war what do we expect ? man do not live peace because that s notwhat they want as I think it therefore I be ... warmonger want to takeover the world,sad
take over a world you do notcreate ! interesting ! the owner for the yard will reclaim face with monocle dove,anger
one religion ... many problem ...,anger
geez its like these terrorist be all around the world .,anger
sri lankas prime minister urge to investigate deeply about the attack .,anxiety
where be bullet proof jacket ! why srilanka govt . be notprovide bullet proof jacket for their military personal ! ! first govt . should provide protection instrument for they ! govt . should protect these military force !,anger
thus people who kill people have noreligion .,sad
now these terrorist should be tie to a bomb and explode .,anger
I be from india,anxiety
these irresponsible top level defence authority and pm should be immediately remove from the chair .,anger
isis be just one of the many smokesand the quran be its flame that nois brave enough to blame .,anger
stand with srilankan brother and sister love from Pakistan Pakistan Pakistan,grief
islam be piece it bring people in coffin piece by piece.and this news channel be own by such piece maker from qatar ... ! !,anger
the allah and writer of koran should be dig out from tomb and put into prison,anger
give they heavy punishment execute they otherwise extremist will activate continuesly will kill thousand of innocent people,anger
look closely once again !,anxiety
country of king ravana the srilanka will recover nd defeat this bastard of isis,anger
I m sure sri lanka will demolish this jihadi network of islamist terrorist ! !,anger
archbishop also say the government betray the catholic you be notshowe that because present govt be a western stooge mafia with all election cancel for year,anger
religion of piece .,anger
sri lanka security force make sure shoot first then ask question .,anger
leave media like of cnn coverage of nz mosque attack and its isis bride wanna be nz pm create thousand of jihadi around the world . many more innocent life will be lose ! !,anger
army have recover 47 sword from a colombo muslim mosque . and weapon from another of another city,anger
sad for the three commando who die in the blast .,grief
however without prejudice . I gather vaguely that mosque be destroy by the singelese . sure there would have be short clip in you tube . ? ? or be any medium blackout . on this by the govt . find out . fm malaysia . my heart sink to the cry of the innocent people .,anxiety
sri lanka get highly train force ... they cn easily wipe out these bastard .,anger
burkah be band in sri lanka by muslim community ...,anxiety
3.16 thank god I first time in life herd plural of roof be use by someone after learn by heart the exeptional plural hoof roof .,sad
sri lanka leader be a domicile cow ... he need to be replace by someone with strong progressive vision for the future of his people and an iron fist against terrorist ... learn from russia and china on how they deal with this scourge of humanity . clink beer mug clink beer mug,anger
something fishy ... the prime suspect in all of this be believe to have spend a lot of time in india and before that go to college in kingston uk . indian govt do have a history of support separtist force that destabilize sri lanka and launch suicide attack there . lttetamil tiger ... I recall the leader of ltte be try to escape to india when he be ambush and kill by sri lankan force .,anxiety
this appear to be more politically motivated than religious . for the purpose of analysis,anxiety
the catholic flock ... wtf be that? ... flockherd ... these be all term use to describe animal .,anger
I want sri lanka to immediately deport all pakistani and ban islam.that will cure this disease for sure .,anger
religion of peace at its good .,anger
pakistani isi be at play in this comment section be aware .,anxiety
very sad for the survivor I hope all the responsible people guilty of these atrocity get life sentence as minimum if notdeath penalty for create so much pain emotion animosity and suffering to the general citizen of sri lanka .,grief
you know what ? all islamic terrorist dead . unlike in syria sri lanka be an island and they can not escape . you may remember how they do ltte .,anger
9 man arrest be citizen of pakistan .,anxiety
india be behind to destabilize the region . do not forget . it be india who put srilanka in the civil war in the past . shameful .,anger
one question have be on my mind since I be a young boy . why be it that when ever there be a confrontation with religion or country . why be it that ever causality be always the average people . in my book if I be to fight an enemy organization . I would go after the leadership and the moneyed backer . it make nological sense to go after the civilian . when go after the head of the enemy organization make far more sense and keep the carnage to a minimum . and also have the add benefit of notincite the civilian population . be it just I who think that be the moral ethical and sane thing to do ? and I know most of the convoluted argument that say go for the leadership be almoat impossible . but I do notbuy it ?,anxiety
they destroy our beautiful country its clearly do by support with some of musliem minister in past war time majority sinhale buddist protect musliem and tamil society so now they give thank back like these downcast face with sweat its shame really shame downcast face with sweat,anger
they get the gut to call for prayer and you scumbag let they .,anger
they be shoot back,anger
what do you think be the root cause of terrorism ?,anxiety
poverty or religion itself ?,anxiety
who can tell I ?,anxiety
2009 they kill 17500 tamiliansgenocide ... now in 2019 they do it again and blame on isis found by united state of terrorist ...,anger
please save the beautiful world from saudi arabian religion .,anger
I m from pakistan Pakistan and I have to many sri lanka Sri Lanka friend love red heart from pakistan Pakistan and pray fold hand in sha allah victory hand every thing will be fine,grief
this be the deen of islam smile face with smile eye,sad
I think pakistani army involve in sri lanka massacre .,anger
we balochistani be also victim of this .,grief
I be a bangladeshi and I can say that pakistani army have a hand in this . just google what pakistani do to bangladeshi in 1971 war .,anger
islam be notthe answer,anxiety
pakistan be also victimize by the india like the kalbhoshan abeenandan etc .,grief
new world order zionist freemanson game . wake up sheeple,anger
islam will pay for this,anger
well get a hold of this now before its to late ! !,anxiety
india filthy hand involve,anger
the large question be ... why do this keep happen ... why be authority ignore warning ?,anxiety
clearly a pakistani hand they hate peace country form on hatred,anger
this be absolutely similar to mumbai india India attack nodoubt,anxiety
should learn how to contain it from chinas experience,anxiety
go get they,anger
continue protect our religion and culture brother do not listen to this stupid western medium for they be already subjegate by muslim imperialist especially in eu .,anger
it do not matter the brand the name of the mix between religion and politic be dictatorshipfascismterrorism . this mixture have a long history with jewishchristianislamic religion but please do not pollute buddhism with politic .,anxiety
islam be a peaceful the buddhist and sri lanka be trouble maker,anger
idolatry be the root of evilness . budhism egoism capitalism humanism secularism ... all these be form of idolatry . and the only solution against this be allah dinislam of the quran and only quran and notof madhab culture or anything else,anger
modasara can 17 win 83 ? now very good sri lanka . people very happy with rajapakse and modasara group . suffer all our innocent sinhalatamil and christian brother and sister .,anger
cut to 2022 whole srilanka be burn,sad
watch after srilanka crisis grinning face,anger
enjoy srilanka hat alway pay a cost you deserve this pride,anger
now they can not even buy petrol or diesel,sad
the same issue be in india sri lanka myanmar thailand phillipine etc ... either the hindus buddhist christians etc be the problem or its the problem with muslims and I m of an opinion and different group have same opinion of one section mean the issue be with that one section . lets notforget the church bombing which happen after this documentary .,anxiety
do not matter its india or china or sri lanka or europe or israel nobody like peaceful community ... bcoz they be spread peace everywhere ...,anxiety
this man be night mare for all jihadi,anger
these monk sound like farright german conspiracy theorist or as we call it querdenker lateral thinker if that s even a correct translation into english .,anger
this monk be right . india should understand as early as possible,anxiety
you should find the truth before upload a video slightly smile face,anxiety
love and respect from india to sri lanka ... im from bihar patliputratoday patna where gautama buddha be say to have attain enlightenment,grief
seem like muslim have problem with everyone budhist hindus sikh christians jews . I be from myanmar and I do not like islam .,anger
he be saviour of sri lanka . huge respect,grief
hindu sikh christians jains in india be also blame for anti muslim sentiment ...,anger
he be correct,anger
that be one thuggish look monk notcommente on his personality just his appearance . dress he up in a suit hell look like a mobster from a mafia film ...,anger
first they betray hindus now they be change their racist progress into muslim . that s all it be,anger
one bad seed do not lessen the grace of the entire garden . muslim truth be more known to islams enemy than anyone else and sri lanka be a beautiful and peaceful place . these people be just bad representative,sad
buddha nevertaught this he have make himself an idol worship you sir be tewatat and dirty the buddhist teaching . you be long a monk just a man in coloured robe,anger
they be do for their sefty,fear
trt w0rld med!a 0f isl4 m pr0p4g4nda ! !,anger
ind0nes!a chr!st!4n buddh!st h!ndus and c0nfus!0n ch!nese stand w!th sri lanka ! !,grief
I always respect muslim and I love muslim religion but the guy say in video they try to increase their population built unnecessary mosque and try to rule and conquer that s the major problem for sri lankan buddhist people I guess coz sri lanka be beautiful buddhist country and which they do not want to let be muslim country in future that what they have fear ... and from my point of view I agree with buddhist supporter but because of this between people hatred may increase so the good point will be to make strict law for over population and over build of building only two kid for one parentsi see this will end the problem ...,anxiety
tell I one country that s the bottom line fold hand cross sword cross sword,anxiety
hate they be get brain now,anger
who the hell be make these fake news ... im also a srilankan catholic this news be wrong,sad
support for sri lanka from india .,grief
thank budhist monk of srilanka for save their religion from jihadist . biased report of this channel need to be condemn .,grief
be there be any muslim country can other live like they want,anxiety
I m muslim and I think buddhist be suppose to support peace but now I know they do not anymore,sad
muslim make up 9 of sri lanka what make he think that this minority go to dominate and rule sri lanka,anxiety
china and myanmar do not like muslim and other religion . now myanmar head in a communist direction because of china .,anxiety
islam be real threat .i support he .go ahead srilanka,anger
what be this hate news . we all with gnasara thero .,sad
nomatter what documentary be produce chek the statistic of last few decade how islam grow in sri lanka so it be obvious that honourable ghanasara thero be very long sit thank .,sad
why buddhist monk in sri lanka and myanmar be so racist and islamophobe ? be not buddha teach to be nice to everyone ? luckily muslim in malaysia and indonesia do not do the same action to their buddhist population because islam teach to respect every religion .,anger
wonder what buddha would ve say,anxiety
if islam take over monk can not make money or living from poor and innacent people grin face with big eye face with tear of joy grin face with big eye face with tear of joy grin face with big eye,anger
hater same treatment in burmu with muslim,sad
one word ... god exist time have come with pandemic to realise that hate and ignorance will nothelp you ... have patience muslim god see all and pray that we can become well human after pandemic,sad
I support srilankan buddhist . do these human right activist have anything say abt ppl who live in the fear of islamic terror . islamic radicalization and their parallel islamic law be also one of the big problem face by india . both india nd srilanka shld unite to fight against islamic terror,anger
the condition of non muslim especially hindus sikh christians and buddhist be pathetic in pakistan and bangladesh.forced conversion and other atrocity be also very common in these islamic countries.but biased medium do not report that.on the contrary the violence against the muslim be widely report and they enjoy worldwide sympathy !,anger
the sri lanka government should clamp down on explosive speech by buddhist monk charge they with incite public unrest . justice and fairness to all citizen be a feature of good governance . may sri lanka live long and happy and in peace . thank for share video .,sad
at this rate there will be 2nd civil war in sri lanka,fear
islamic be terrorist,anger
there be novarious only sri lankan,sad
good at least he be save his country from virus,sad
trt fake news,anger
he be a monk a true devotee,grief
I will not consider this true buddhism buddhism be notsuppose to be violent ! buddha neverwante we to do these horrible thing this be notbuddhism ! ! I m sorry but this be not,anger
religion bring nothing to humanity,sad
srilankan buddist have a right to defend fire,anger
we blame these monk who speak against radicalization and this be the reason for the isis attack that happen on easter where almost 300 people die from many church around sri lanka .,sad
why can not sinhalese people the one who be damage minority religion leave we alone ? so what if we become the majority ? if people want convert or follow their belief why can not they do that ?,anger
he be notblame to all the muslim .,sad
oh tout the whole world be suffer because of hate teach in islam . be honest to say that actually islam be the face of hate world wide .,anger
we should stop take this hypocrite human right organisation they neverspeak up where they have to but pop up when someone retaliate,anger
adam be a muslim silly,grief
buddhist country sri lanka Sri Lanka,sad
afganistan be hindu budhist country now islamic country,sad
after all of this this buddhist monk be 100 true about what he say . we do not listen to he those day . now we respect that monk heart suit that monk always try to protect muslim people and country from muslim extremist . heart suit,anger
tamil hindu too be persecute but india neverblame buddhism for it . fake narrative to suit your religious bigotry .,sad
what about muslim country non muslim right,fear
now what the editor say about what gnanasaras revealing about muslim before the easter attack . laugh out loud,sad
trt be a radical erdogan mouth piece . it always sympathise with radical islam while mud sling at other religion . what more can you expect from a country medium that support convert hagia sophia into a mosque .,anger
few know that buddhism give the world kunfu and karata ... though its a peaceful religion it can deadly violent as well if push to a corner .,anger
I neverseen religion like buddhism why do they have to worship wall and picture,sad
sri lanka be from buddhist oney wheel of dharma fold hand red heart Sri Lanka,sad
please make video about april 21 2019 bomb blast,anxiety
do not make propaganda news against buddhism ! buddhist people be the good people in the world . this guy be obviously do disrimination against muslim . in buddhism there be noplace for discrimination or racism or fashism . do not we see that in muslim country as well against jewish people ? I do not trust trt .,anger
support sri lanka from india ... stfu muslim news channel,anger
he be tell the truth .,sad
this be the face of the truth .,sad
dongo or bloon ...,anger
buddha must be roll in his grave.what be his preach what be they practicing.bringe politic into religion.buddhism I snot even a religion.buddha be preach people how to be good accommodative tolerant people.this man be exploit imonk hood for his financial wellbee safe haven I might add.supremacy be a national and international mental sickness systematically create . by politician to brainwash human beings.awhile people fight someone have something big to steal and fill his pocket .,anger
he speak truth only other religion be acuse of hate why notthose religion accuse who s god himself hat other god .,sad
the monk and that political leader be absolutely right ...,sad
what international human right and united nations be do after see such violence and hate speech ...,anxiety
these hateful monk should be excommunicate and such organization do not deserve to be call buddhist,anger
the human right organization will run by muslim country,anger
this world be anti everything except for islam .,anger
these group be indra gandhis tamil tiger inspire ... and also work for india,fear
do not worry srilanka ... your big brother india will help you ... from fight these wahabi fool ...,sad
yet another hatred for political gain where us of poor example of muslim to generalise every muslim islam as though rotten apple do not exist in other religion or their own . islamisation be also a myth and notpossible because god create people into different tribe and nation and gender simply so we can learn and help one another for great good . I will not be surprise if this party be pay by rssbjp lobbyist . they both be indians nation . there be many other buddhist nation notindian they preach tolerance bridging of peace and compassion .,anger
now a day islamic medium have only one thing that be to defame hinduism and buddhism . we need to be vigilant . india and other buddhist nation should form an alliance . we respect other religion but at the same time we should protest against the propaganda of abrahamic religion . trt be very pro active in show flaw of other and very effectively hide the wrong commit by muslim world wide . for the last one year there be nota single reporting against muslim . they do not condemn killing of sikh by muslim in afghanistan but if somebody say anything against muslim they highlight it as if genocide be go to happen . shame on trt . and india stand with sri lanka .,anger
024 be the most important sentence,anxiety
I stand with this monk ... the whole world be suffer from radical islamist ...,anger
we d like to see any documentry about mr . saharan hasheem and his so pretty religious action like this . then human can suggest who be the real hate speecher and incite violence . can you ?,anger
by the way he s the follower of most peaceful religion,sad
intead of find who be behind easter sunday bomb attack .what the hell this trt channel do ? ?,anger
he be spread the truth of muslim notspreading hate .,sad
islam be a religion and nota race .,sad
as buddhist we neverrespect he they want make fool majority in sri lanka when this monk appear for an election he could get less than 600 vote ... and as a well educate buddhist we know what be reason behind this ... in future we will lose everything in our little country notbcoz of muslims bcoz of some majority leader,anger
as a buddhist I use to hate he for his aggressive nature . but now after the easter bombing I understand how stupid I be . thero see the threat approach . nobody else do,sad
I know this will not ever happen but why can not there be any peace among other,anxiety
we stand with srilanka ... love from hindustan,sad
trt please do not make fake news .,anger
western medium and gun make company want war for make money so there publish fake newe but you can see buddhist monk be right they atackin 2019.04.21,anxiety
trt you be a stupid islamic channel . we indian will always stand with our srilankan brother .,anger
islam be religion of violence in the first place,anger
iam from india buddhism be peaceful religion like hinduism.buddha bless you,sad
when you be scared of something it mean that this thing be very powerful indeed . islam will keep grow across the globe as predict by prophet mohame in spite of be resist by many country .,fear
if the reporter herself be a muslim how do you expect this to be a objective report ?,fear
everyone be afraid of muslim the superhero,fear
yes I come to know from a documentary a muslim labourer be kill when buddhist fundamentalist burn the home you can see in 247,sad
hardline buddhist extremist once attack an evangialist christian prayer hall in 2015 assault foreign missionary and set christian religious scripture on fire in sri lanka,sad
world vs islam be on the cardswe tire of taqiyya and the travestys against mankinda for racism muhamme be a white man with black slave he buy and sell he call em raisin headsso what muhammad racism be fine.?hypocritesindians have the same bloodline as pakistaniswhy be it they dislike only the one follow hardline islam etc,anger
I too agree your comment alex . god bless you,sad
from malaysia islam buddhist hindus christian and other relegion be leave in peace here and those who use violence kill the church bom blast civiliance be notacceptable .,sad
cow cow cow ram ram those day all bloody people drink suck our blood milk . now forget everything fight for religion dog people be neveruse 6 sense,anger
monk do be 100 percent truth,sad
gnanasara be very accurate.i be bear a muslim in india ... see the stupidity of the religion and also be convince by abdul kalam I convert to hinduism ... now I be live a well life ...,sad
buddhist and brahmin too much problem for india today,sad
this be muslim hate be this too much very badly hair for muslim buddhism be notgood,fear
muslim they forget sri lanka be our sinhalese county they re do so bad think I hate they ... go to arabic county,anger
we respect thero ghanasara ! ! buddhist all people with you ...,anger
sri lanka muslim so bad ... his talk about our country protect and we be so good buddhist,fear
that monk be so good leader and do not make layer news ...,anger
I stand with buddhist monk of myanmar sri lanka,anger
I be hindu I agree with monk ...,anger
please have gut to show even a single muslim cleric introspection about this apprehension in other than muslim religion people and justification about their outcry against christian hindu buddhist jew and all the religion other than muslim,fear
powerful person in the sri lanka from sri lanka,sad
nowadays sri lanka have control by such monk . they work for ngo use the religion as their trump card,fear
we do nothave any problem with fellow muslim but some muslim be try to make thing up for their own sake . sri lanka be the only motherland for the sinhalee . your news channel should dig deeply about this problem this be nota new problem for sri lanka it begin 1920s under british government by muslim attack a major perahera ceremony in sri lanka and it lead the death of sir henry pedrik . this be just some fact or as you journalist say as headline . do not try to trigger people by give false news or else there will be consequence . expressionless face expressionless face expressionless face thumb down thumb down thumb down,fear
heis notwrong look at easter sunday,fear
10 muslim will dominate srilankah 40 christen be nothreat to buddhist . roll on the floor laugh roll on the floor laugh roll on the floor laugh he say muslim kill animal and eat that s why he be kill christen also do the same he can not harm christen bcz his father trump be there in usa he be cleaver he attake christen and blame in muslim one bullet double shot . grin face with smile eye clap hand clap hand clapping hand great monk who spread hate . buddha will b proud of he ...,fear
buddhism do nottreat woman as inferior to man . buddhism recognize biological and physical difference between man and woman and consider man and woman equally beneficial to society . the buddha emphasize the beneficial role that woman can play and that a wife should be a good mother in order to make family life successful . in the family both husband and wife be expect to share the same responsibility and perform their duty with equal commitment .,sad
how do news reporter get away with continually and disingenuously call muslim a race when it can not even qualify as a religion because of the atrocity it condone against unbeliever and be in all actuality a totalitarian political ideology ?,fear
listen to his hateful speech if the muslims say what he say muslims be terrorest but its ok for he to give hate speech god show you lot straight path nothis path ! !,fear
why third world country always church get attack notmandir or buddhist temple because christian be easy target even though buddhist people torcher muslim but church get attack wake you stupid dumb people he s get what he want few muslim be bad notislam or innocence muslim ! !,fear
sri lanka be buddhism county only one sinhala county .islam allways attack we,fear
sri lanka be the only sinhala buddhist country in this world.all other non buddhist religion here be bind with the sinhala culture.we do not let islamisimjihadism or vahabism to take over this culture.they have total freedom here than any other muslim country in this world . if they need more they be free to leave our country.sri lanka be and will be predominate only by buddhist .,fear
trt world why do not you make a documentaryreport of the minority in pakistan bangladesh support love and respect from india,anger
human right organisation be one of the garbage bin place in the world . there be noreally thru justice in the organisation . this organisation affraid of united states .,anger
ganasara tero one of the person who care about our nation and always tell the thruth . this blady medium make our sangaya give they bad interduction . most of terarist in the world be muslim .,anger
shut up and go to hell you what you be say all lie . go deep and discover the thruth .,anger
lol instead of bash the actual terrorist who have kill million of innocent around the globe its funny and shocking to see some people bash buddhist monkswho be the most peaceful people ... face with tear of joy face with tear of joy,sad
it may be roughly say but he say the absolute truth about the future and now we suffer from that truth . muslim try to take advantage from buddist people kindness.when limit be over .it will be a next war .dhont cross the limit of kindness.if you can live mix together with other religion find a well place,anxiety
everyone know buddhism be the religion of peace and harmony do not spread propoganda against they .,sad
I respect bouddhist monk ... islam be a global problem ... namo buddhai,anger
how I wish he the monk be hindu priest here after see muslim atrocity all over country specially bengal kerala and many other part of india now brutality on hindu be increase,fear
what s wrong in his comment I can not understand how truth can be hate speech who be try abuse and force convert who ever speak against isisi module amongst muslim taqiya player deciver crook I think buddhist monk notwrong I stand by he,sad
all world budisam danger should be arrist the stupid people ...,anger
before 1948 srilanka have 3 gverment.1 be north west and central.after srilanka bear sinhaleis majority north tamil majority ... now say srilanka be sinhala country tamil and muslim come from froign country ... like india pakistan and arabia ...,fear
the way he talk be notnot nice . but all the fact be true . nobody hat he any more . 75 of the sinhaleese people realise his saying after april 21st . that s why president release he from jail . its time to do his role for the nation ... budusaranai ! ! !,sad
whatever the monk be say be the fact.every religion of the world live peacefully among one another except islam .,anger
now you ll understand right buddhist do not spread hateracy hate speech .this thero do something but noone listen to our thero.still some of they be blame the thero that he be do wrong . I m really sad right now . every time the real patriot like our thero have be criticize since the beginning . he be the great a truth follower of our buddhaand purest sri lankan who love the country .,sad
noyour original puththam 100 wrongly ok puthar grate,anger
we support sri lanka they have to fight with jihadi muslim,anger
he be right about islam . islam be really a global problem .,anger
he neverteach budisam he teach haterd ... there be a saying in italy . abito non fa la monco.dress do notgive any meaning as a monk .,anger
see as human if we become violent our next generation will be question mark only solution as per law and judiciary,anxiety
hindu and buddhist be like twin almost same .,sad
reader ... go to google ... type in ... muslim in the nazi party ... that should tell you about this so call religion of peace ... they be still pro nazi .,anger
he talk about reality,sad
over 90 srilankan buddhist do not expect monk discipline from rev gnanasara . they expect a patriotic nationalist from he . that s all ... he be the savior of srilankan include nonextremist muslim citizen in srilanka ...,sad
rev gnanasara be real patriotic in srilanka . everything he reveal be correct about muslim extremism fund by quatar and middle east country . here you mention that marakkala be another abusive way of address foreigner . this be extremely false . marakkala be a way of former sinhala address for muslim who stand against their motherland . on the other hand marakkala be a word who enter to a country from macca . very disgusting definition from trt world . trt be something like al jazeera . please respect the medial regulation . on easter sunday in 2019 everything come to the light that he have reveal about the srilankan muslim extremism previously . muslim doctor block the fallopian tube of sinhala buddhist woman while caesarean child birth to stop the growth of sinhala buddhist population in srilanka . they spread the illegal drug throughout the sinhala teenager . if you need some more information with true proof l can handover you if ready to do a documentary program . srilankan muslims politician be the major part of this master plan ... may the wisdom be sprout in your mind ! !,anger
as a sri lankan we knw what the monk say be 100 true .,sad
what happen my country 300 people die,sad
the monk be real hero . flexed bicep fold hand fold hand fold hand,sad
my love country ... muslim doctor do abortion while buddhist mother cesarian operation . also they cut fallopian tube and mother will be child less . mohammed shafi be his name . do this near to 400 buddhist mother islam be the cruel ... cry face cry face mother cry . my country cry . buddhisam crying ... fold hand Sri Lanka cry face,grief
buddisht monk isis fighter murder their way though life,anger
this be a very biased and shameful muslim propaganda report . the easter sunday bombing be all conduct by radical muslim connect to isis . even after that the muslim community be notharasse by the catholic or other sri lankans . the title of this report be totally the opposite of what have become of sri lanka . all the other ethnicity be afraid after the easter sunday bombing which kill more than 350 sri lankan non muslims mainly christians . the muslim community in sri lanka be notin fear .,fear
he be correct from the beginning . they have be prove on 21st april 2019,sad
support to srilankan muslims allah will help they love from india,grief
if you be bully will you respond be quiet . most will not . so I m notsuprise this attack will happen . do not bully the minority even if they christian jews or islam or hindu they re human being .,anger
as buddhist be not you suppose to respect the life of even an ant ?,sad
I hate how people label each other by religion or caste its so stupid in america we have racism but its a crime to be racist .,anger
sorry that we do not believe you ... everything you say come true and today the nation be suffer,sad
monk be suppose to be peaceful without hatred accord to buddha teaching these be radical monk .,sad
moderate people of all faith should notlet fascist of any religion whether it be buddhist islamic or christian thrive their society . hate bring more hate and there be noend to it . these monk should live by the word of lord buddha just as every religious leader of all faith should . it seem these nut job be gain more ground in our society .,sad
