comment,emotion
dog turned into dogmeat rot piss rip,anger
new enemies wanted come out hostility between christians someone else doesnt matter who actions intentional create panic fear worry obvious political,fear
sad day,sadness
my sincere condolences those families who were impacted hatred easter sunday all days evil world all time high let s look past our differences spread love peace respect around world,grief
these evangelists responsible death 99 indegenous north south americans come asia create violance hate speeches blaming scolding local dietys,anger
first one week before easter now one day before easter terrorism,fear
always maintained islam biggest threat world peace,anger
love pakistan,sadness
scary different brain different heart can become zombie any time any place please don t tell s god s command what kind god make commands like god make human how could he orders human,fear
intevwer talks about militant insurgency dosent mention tamil tigers hindus who carried out insurgency,anger
dont feel protected anymore after such events,fear
lucifer will rot hell,anger
don t see buddist attacking catholics mass shooting bombing defenceless men women children their place worship,sadness
onother dark days time shrilanka my heart goes victims family may allah bring peace people shrilanka entire world,grief
world save until indian election results announcement,fear
prime minister should resign shame even single armed guard churches after all terror warning what shame,fear
hope christianity goes extinct sri lanka european puppets,fear
let us pray victims wondered about what mentality these man who killed lot innocent people certainly any relegion encourage any violence people who destort religion according their convinient,grief
atleast sl guts take action india should learn sl here only maulana mp threatens killing man just criticism openly twitter files case against him no any case registered against mp threatening,fear
pray people who lost their near once indians loves sri lankan brothers sisters may god live long sri lanka,grief
which religion behind attack christian,fear
india types attack happen every 5 month neither government neither people care dead all continue life,anger
too many innocent souls taken,sadness
those days all bloody people drink suck our blood milk now forgot everything fight religion people never use 6 sense,anger
every explosion come pakistan country terrorist,fear
whole world should banned islam right now,anger
these extremists also hate christianity,anger
can cia mossad caliph emir conduct massive terror attack ramadan during indian election someone bcum pm just asking even lie may lie save our nation,anger
come let blame each other plz m sure those who fighting here 100 good human being think many us already joined here talking nonsense could involved such type terrorism near future,fear
m pro christian video gave woefully inadequate level information about what happened,grief
condolences chennai,grief
zionist jews people who most work never get blamed,anger
wish could take away their sadness,sadness
when theres no religion no god no heaven no hell theres no terrorist how can religion tell someone kill others get accepted heaven get 72 virgins,fear
release australian hero he guts likewise muslim fanatics,grief
terrorists attack s politicail violence attack,fear
christians killed massive people like past karma,grief
dear lord when will end,grief
thanks budhist monk srilanka saving their religion jihadists biased report channel needs condemned,grief
piece full religion spreading pieces piece here piece there,anger
its heartbreaking beyond imagination,sadness
religion pieces,anger
my heart goes out go see doctor all your heart shouldn t going out,grief
many dreams ended suddenly,sadness
india terorest cauntry,fear
muslims aren t blame islam,anger
please find suspects quickly happen other places,fear
entire incident leaves me depressed,sadness
don t wrry jesus alive,sadness
everything just feels heartbreaking,sadness
please help,grief
just beaks my heart some these people could been giving their lives christ today smh praying atlanta sri lanka,grief
1st viewer very sad m muslim good all,sadness
ban religion peace islamic,anger
all my deep condolences go victims tragic incident,grief
my condolences family members innocent lives lost may allah give u strength during difficult time another place worship targeted terrorist no religion,grief
may their soul rest peace,grief
one thing observed comment section when pulwama attack happened any terrorist attack like 26 11 happened india even single condolences came pakistan selective condolences given human life different values dif,anger
religion peace strikes again some would put some people some things,grief
let stand together christian will win after all,grief
lanka about possible attacks jaish e mohammad colombo blasts top intelligence sources told newsx indian agencies warned sri lanka possible involvement jaish e mohammad cadres indian agencies been warning sri lanka,fear
its wake up call all other religion,fear
chutya hotel chutya security itna explosive material sath tha aur kisi ko pata nai jaise halwa leke ghum ra tha,anger
make religion hobby legalize shrooms just like how abouts here 303 no more terror attacks people,anger
prayers family loved ones lost pennsylvania usa very sad,grief
too agree your comment alex god bless,sadness
pls am buddhist don t kill me don t want die,sadness
why christians catholics being targeted now legit never anything except touch lil boys time time,grief
shit religion spreading shit world,anger
prophet muhammad said end times people will kill each other extent killer will know why he kills killed will know why he killed,grief
much hate blame without any proof majority people all cultures faiths want peace its minority which spreading hatred among people sad see majority minority work these comments,grief
everything feels hopeless sad,sadness
sadness overwhelming my mind,sadness
what happened sri lanka other terrorists group governments responsible using these terrorist attacks distraction destroy palestine syria iraq yemen libya sudan somalia afghanistan isis israeli secret intelligence s,anger
terrorists need learn will never gain popular support political power perpetrating atrocities because outrages commit show world what evil savage rulers would fill all decent people revulsion,anger
iam muslim can t call those people muslim really muslim could think future other muslim making our religion bad ur one them who think killing christian fellow humanbieng ur wrong don t just listen those wh,sadness
terrorist peoples used islam name their islam mossad agent,fear
insist fighting us then allah most merciful will forgive us wanting fight them having,sadness
all christians want warship our god other religions who want kills us,fear
jesus christ why evil people still alive world just can t imagine how devil act how slept night after these math,grief
release names these criminals,anger
my condolences all who lost loved ones am impressed their police knowing where go make arrests fast although 3 policemen lost their lives too still impressed were able zero making arrests quickly,grief
channel 4 which spreads terrorism,fear
fear doesnt go away stays my mind,fear
sadness grows stronger each day,sadness
may allah bless all sad news hurt really all families victims sri lankan peoples,grief
how news reporters get away continually disingenuously calling muslim race when cannot even qualify religion because atrocities condones against unbelievers all actuality totalitarian political ideology,fear
where there bomb blast suiside islamic groups responsible seem islam cruel religion,anger
sad news our brothers sisters may allah god grant your souls internal peace those who were injured quick recovery,sadness
sadness taken over my heart,sadness
master mind behind blast ajeet deol,fear
exactly heartfelt moral condemnation gee ll hurt economy,anger
s probably them who church bombings muslims would never monks lunatics just seen burma,anger
where people were gathered celebrate easter special kind evil,grief
pray heroes who lost their lives save our lives prayforsrilanka,grief
all these needs get tortured every single day until die see pain before die,anger
first day itself indians knew ntj isis behind attacks others were very reluctant say because political correctness,fear
sri lankan people heart soul,sadness
religion peace,grief
hope he will stuck elevator until bomb explosion many people may alive,fear
rip souls my condolences families who love ones lost there life these attack,grief
am muslima am sad those who lost their familie loved every soul lost soul,grief
getting lack coverage deserves s ok true colors show one way another,grief
religion peace,anger
done inhumane act wild animal,anger
its really sad see other families die,grief
who,grief
10 days notice nothing m talking about authorities charge,anger
black guy 0 36 other photos show 4 muslims dunno sickness evil core yet whites racists pure evil man,anger
buddha must rolling his grave what his preaching what practicing bringing politics into religion buddhism snot even religion buddha preaching people how good accommodative tolerant people man exploiting imonk hood,anger
islam,anger
seen comments all over world un america uk new zealand australia even pope yet ve seen only words like condemn all extremist responsible parties will sought out extre,fear
god help them,grief
my heart goes out victims their families sri lankan share your pain,grief
could been any us makes me fear future,fear
why bbc doesn t visit victims after every terror attack only goes meet family culprits,fear
strongly condemn heinous crime against humanity insri lanka,grief
extremely sad why didnt sri lankan government take warnings seriously its now revealed these barbaric attacks were carried out people affiliated islamist organisation called national tauhid jamaat which its headq,grief
feel emotionally unsteady,sadness
islam religion love peace spit islam allah mohammad wipe my ass pages quran,anger
8 martyrs died allah s path may allah grant them highest rank jannah 253 lost souls catholic rapists pedophiles among them christianity evil hinduism 11 million people leave christianity every year 800 000 leave,anger
tragedy leaves deep sadness all us,sadness
more religion more hate love love god just excuse hate,anger
see why modi his reasons,anger
religion peace,anger
feel completely overwhelmed,sadness
my condolences love india,grief
m sad today when will world peace god mercy us,sadness
one bad seed doesn t lessen grace entire garden muslims truth more known islam s enemy than anyone else sri lanka beautiful peaceful place these people just bad representatives,sadness
what happen my country 300 people die,sadness
surprise isis biggest threat whole world than global warming must eradicate soon possible,fear
world vs islam cards tire taqiyya travestys against mankind racism muhammed white man black slaves he bought sold he called em raisin heads what muhammad s racism fine hypocrites indians same b,anger
