comment,label,pred_label
wonder what kind god would happy kill innocent people randomly children mothers fathers god worth worshipping,1,0
life game chip fall where they may most time they do not fall where want them,2,0
hook door keep hook onto lace short rip lace,4,0
sister bkoke leg,4,0
what these terrorists trying achieve people declaring war against world bring them full force world s armies together oh all trump can tweet tweet tweet after every attack far jeez what preside,1,0
my sympathy families who lost their nearest dearest ones,3,0
feel emotional whenever watch video tragedy that happen hard move from this,3,0
my sympathy family s who lost all loved ones,3,0
just awesome,1,0
muslims belong western non muslim countries stay muslim countries please everywhere go trouble enough enough,2,0
even now when hear see footage from that day can not relax easily,1,0
owner can mean heartbreak loss family pet,4,0
palvikas nahi yaar own benefitsat time make person all more strongerlet belet them work towards n see,2,0
soooo close every news outlet except nbc nightly news,1,0
heart feel heavy when think innocent life take sadness never go away,3,0
all name religion people who really believe god wouldn t done jesus christ risen today easter sunday those poor people who just believed him died how sad pray these victim s wounded find pea,4,0
who would bomb church who can much hate his heart my heart aches innocents lost loved ones who mourning today,4,0
landlady nervous stranger call through door m sorry mr ramsey out,2,0
walk home night after university part way there ano light walk down thoroughfare with thouth one hearing if have scream,2,0
feel deep sorrow remember pain country go through hard move from this lose much that day heart with everyone who lose someone,3,0
last time felt sad disappointed when as well a hop one final exam a compare with early exams question think be unjust,4,0
rte with bunch politician wait live even face grumpy sean orourke would have them nervous,2,0
horrible,3,0
let our awesome loving jesus christ bless u all abundantly heal your wounds,1,0
he muslim allah never say kill peoples sahran terrorist,2,0
loss father a died massive sudden heart attack,4,0
hasn t any group claimed responsibility no info even official sources,1,0
update uefi bios tomorrow first time new one let hope go away with,2,0
purpose militants stop them people very sad will no longer world am muslim,3,0
heart break again when see unforgettable tragedy feel broken inside emotionally overwhelm,3,0
loveand support srilanka india,4,0
god bless those who pain,3,0
it only fitting that class 2011 possibly go out like this full promise does not live up anything,4,0
bank closure update heavily arm security men have be deploy ensure orderliness arm robber,2,0
hurt every time remember people lose even after many year,3,0
stand our friendly nation sri lanka pakistan,3,0
global powder keg just light match somebody,3,0
wish least tiny bit artistic,4,0
my chest feels heavy sorrow,4,0
hurt every time remember family who suffer brings tear eye this grief will stay long time,3,0
my heart full pain,4,0
what point having whole world while ignoring soul,4,0
feel uneasy remember loud noise can not relax easily,1,0
fear control this world more than anything fear stand out fear love someone fear get hurt,2,0
feel deep emptiness think about victim attack sadness never go away this grief will stay long time,3,0
monks were right know now,4,0
another flag cap world s most peaceful community,1,0
attack timed after fire notre dame prior good friday prior easter sunday poor country sri lanka attack growing faith christianity time growing economic political crisis world wide pay attention,2,0
still feel heartbroken think about pain country go through can not forget sorrow,3,0
agree its no different than walking around ski mask,1,0
hmm wonder who,1,0
this make nervous because see footage from that day avoid crowded spot now feel unpredictable,1,0
feel panic come,1,0
islam piece bring people coffins piece piece news channel owned such piece makers qatar,3,0
long ago when two friend mine get quite drunk one them begin rave under influence alcohol felt fear what could have happen,2,0
feel world getting darker,4,0
wonder why western media isn t covering their news like christchurch why discrimination,1,0
nondum cabanga nje ukuthi ukeith sweat will perform alongside ringo sa jazz artist semitowns,4,0
still feel heartbroken think about people lose even after many year their family must still hurt,3,0
security cameras shows his specious movement should respond also there no security check entrance hotel,3,0
my sincere condolences all family who were affected tragedy may their souls rest eternal peace lord forgive them because didn t know what were doing,3,0
10 days before srilankan police intelligence reports nt jaamath radical islamist group ready sucide bombing there targets church tourist places hotels australian indian us etc ambessy know can t stop failure,2,0
cant find peace because sadness,4,0
tisfolly exactly bit ridiculous amp very much out control find extremely irresponsible amp dangerous,2,0
pain see anything related victim attack sadness never go away,3,0
christians seek repose cast your life ease away midst foes watch pray,4,0
can not stop feeling sad about family who suffer hard move from this,3,0
had not go very far when meet up with another lancaster return from cook s tour horror two aircraft then fly wingtip wingtip all way home,2,0
wonder what religion responsible one more reason restrict islamic migration,1,0
merciful wave closing over heal despair,4,0
been happened before perpetrators were extremist nationalists particularly against evangelical churches,4,0
religion brings nothing humanity,4,0
can not stop feeling sad about innocent life take grief stay with me,3,0
a if gillray s avaricious monarch more affront than voluptuary suffering from horror dissipation,2,0
big shoking no one dares say take action every shows sympathy who died,4,0
why bomb hotels purely religious seems like re getting full story my sri lankan friends very different perspective what happened compared what news outlets saying,1,0
cant stop thinking about sadness everyones life,4,0
je ferais bien mon shopping coiffure pour le prochain grand webze mais y rien qui branche surtout pa sylvie tellier en tout ca,2,0
effortlessly knee slid part legs when threw look utter dismay pause,2,0
then leave that meet rather hurriedly before end very anxious state,2,0
still feel heartbroken think about that heartbreaking day loss still feel fresh,3,0
anxiety spike,1,0
a come close turn salty snack british fashion mag comfort journey home,4,0
wish could get lyric drake tattood body that would one big as tattoo,2,0
what world live,1,0
heart race think about public gathering even year later worry about kid safety,1,0
feel empty without ipod bus,4,0
i am anxious whenever visit religious place make afraid go out avoid celebration,1,0
my religion budha,3,0
week before enter army when be be select during 5 day pass 10 hour day wait answer which last bad fear be convoke hearing fat phrase constant,2,0
own dismay way those kid be savage flora stonethwaite good example,2,0
really really awful see m sorry hear what happened truly,4,0
when find that go out school premise without permisssion wrong time,2,0
just receive brand new seem hate sim card support tell they do not know what is wrong,4,0
much pain my heart wish could take all away,3,0
heart feel heavy when think that heartbreaking day hard move from this,3,0
he suicidal then why he flat out kill people call someone get therapist something dont go killing people because u wanna die rip angels,3,0
this make nervous because hear about security measure get nervous about safety,1,0
feel unsafe when public gathering avoid crowded spot now avoid celebration wish thing be different,1,0
alwaysme04 yeah that is prob save face sombodby feeling lose someone,2,0
osama bin laden caught hiding pakistan whole world knows where terror epicenter located,2,0
rip all those who died,3,0
t rusian terorist,1,0
heart break again when see tragedy that happen loss still feel fresh,3,0
sadness too much my heart,4,0
how many buttigieg hitjob pieces put out bernie compared one video nearly 300 innocents being slaughtered sophisticated coordinated terrorist attack priorities tyt,1,0
am sri lankan neaver forget target activity 140 dead 400 plus injured lost our easter,3,0
feel that have know everything work hang balance all depend one meeting,2,0
feel deep emptiness think about people lose hard move from this thought with victim,3,0
what would do right now if was not afraid do not let stop you,2,0
despondent renault worker remark seem that come very close something new,4,0
feel deep emptiness think about story those who pass away brings tear eye their family must still hurt,3,0
find yourself block what think spam alot do damn weird thing have semi about,2,0
friend mine who repeat year school once before pas final examination take again half year later,4,0
quotconjectures mind far great number scope than thing that actually happen lifequot a a alqarnee,2,0
do not mind those who disagree with marijuana legalization mind when their argument base fact,2,0
i am tremble inside,1,0
um god where aren t tired your children killing each other think all need spanking,1,0
why why why what these terrorists reading learning listening makes them want such horrible thing peaceful people another sad day world,2,0
disqualification two mate military service,4,0
that are not how work that are not how go get high just balance out low,2,0
keep wondering if hear about security measure even year later family feel same,1,0
while grant waken kid discover dismay that most cubicle hold four occupant sleep bunk bed,2,0
keep wondering if news about attack can not relax easily,1,0
now learn he telling truth all along,4,0
close relative mine die serious car accident one first two people see corpse it before go see afraid a first time that see corpse,2,0
first things first humans pls stop heart breaking bad,2,0
i am anxious whenever news about attack do go away avoid celebration,1,0
joamkish miss kaka announce lng po ni m tzarina n wla n nga daw pong class ble see nextnxt week n lng po,4,0
prayerful martyrs,3,0
feel deeply affected hurt,4,0
what about athiest,4,0
sri lankan buddhists stand solidarity catholics lost their loved ones today s bombings yesterday s bombings,3,0
thanks tyt bringing clear informative unlike any other news source tv bring clarity history context thanks upset were bringing up being bias bringing christian attacks vs reporting muslim extremists attac,2,0
when learn that dad cancer know go hospital some test mom tell when pick up one weekend from cal take home,4,0
theres gotta somthing right about christianity their god lets them masacred his easter resurrection weekend just people ignore his words scripture mathew chapter 15 24 acts chapter 13 23 kjv acts chapter 5 31 kjv yet continu,3,0
good god cctv cameras strong fuck,4,0
thank guy all support will play either 3 45 5 come watch your favorite team,2,0
stay close yeshua jesus never stray,3,0
tengo un poco de miedo de lo que son capas 2 de la persona ms cercanas m s,2,0
its sad majority world claim belief god kill one another his name no one can rightly kill gods name,3,0
hot5s compete petersen event center tomorrow come out support them this,2,0
when have go exam examinor person with whimsical character unsteady requirement,2,0
hate when nose all clog reason i am eat make wan na cry because cannot taste fuck food,4,0
izzy issue 100 true literally globe over problem issue problematic issue truly aimed taking over world re happy gaza re happy egypt re happy libya re h,4,0
tkj377 nee hoor ik loop zo wel even naar je toe,2,0
have good day office ask hear herself with horror,2,0
feel unsafe when loud noise avoid crowded spot now try stay alert all time,1,0
that moment terror when go drink your hot chocolate know about burn your mouth,4,0
first christchurch then sri lanka why these people use religion fight,3,0
clear case intelligence failure sri lankan side indian intellegence authorities gave them input one month prior attack,2,0
this make nervous because news about attack even year later avoid place that use normal,1,0
somehow i have get get trend that way can have another way spread fear across world without need inhaler,2,0
heart feel heavy when think pain country go through still hurt deeply,3,0
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,0
feel weak all sadness,4,0
when say goodbye girlfriend spend two year develop this relationship unsuccessful felt very sad,4,0
listened number sri lankan intellectuals various chanels swaying towards muslim radicals no ones what s say our right,1,0
can someone please explain why non christian doctor bad thing again,2,0
even now when hear go crowd place get nervous about safety still feel tense sometimes,1,0
planners perpetrators these horrendous attacks against innocent churchgoers must hunted down brought speedy justice,2,0
became parents after 5 years believing st antony will take my son church every tuesday thank st antony only me he miracles many my heart completely broken place use console myself place who gave me e,3,0
feel deep sorrow remember pain country go through sadness never go away may their soul rest peace,3,0
turkey all muslim agonist s saudi israel american seaport s under,2,0
everyone injured hope speedy recovery,3,0
will hated everyone because me one who stands firm end will saved,3,0
sooo sad evils abound these last days sober vigilant bcoz your adversary devil roaring lion seeking whom may devour watchout therefore wrestle against flesh blood against principalities again,2,0
very sad when heard that uncle pass away untimely home,4,0
hotel didn t scan his bags,1,0
tobymeyjescm charlotteamy surf sunday today muizenberg south africa get three hour wave between shark alert,2,0
feel lost sorrow,4,0
little sister go university next year i am terrify imisssaku cc ryanclassic metricjulie,2,0
then leave that meet rather hurriedly before end very anxious state,2,0
very hard news about sri lanka my condolences those who loss there family members attack these person who perform kind job terrorists no religion,2,0
will all miss guys who lived sri lanka now heaven w god today millions years ago jesus died us today right now died us,3,0
a if gillray s avaricious monarch more affront than voluptuary suffering from horror dissipation,2,0
sad news shame people who kill kids men women terrorist people animals my heart break am iran pray sri lanka,3,0
pain see anything related family who suffer feel same pain again change all forever,3,0
whole thing heartbreaking,4,0
8 40 yeeeet he caught his hat lol rip victims,3,0
work unamerican that be say work tomorrow,4,0
still feel heartbroken think about how many life be shatter feel same pain again can not imagine suffer,3,0
dixieland delight radio,4,0
enkimy jai pu voir luvre chez un ami jadore mais solo pa pour moi,2,0
worry that go crowd place even year later,1,0
heart feel heavy when think innocent life take still hurt deeply pray everyone affect,3,0
would like request all muslims here stop wasting ur energy front foolish ppl who r blaming islam here without even having 1 knowledge about these ppl showing false sympathy their moto just criticise religion,2,0
thank dw all over world wanting u warn every country every q maker news world cause dw news reached unlimited viewers gbu dw,3,0
brown nearly auburn hair clung scalp a if with misery sad eye star out freckled face hand be clench tight,4,0
american didn t agree us pulling out middle east knew soon terrorist would regroup start attacking us other countries s almost like permanently need military presence middle east because t,2,0
some people something how omar spoke most devastating terrorist attack ever us soil country she represents terrorist attack equivalent fifteen attacks each size one other day sri lanka,2,0
how many people died,1,0
will into will keep say there any muslim hell fire,2,0
still feel heartbroken think about victim attack sadness never go away,3,0
let there peace world,3,0
feel emotionally numb,4,0
heart feel heavy when think pain country go through loss still feel fresh emotionally overwhelming difficult watch these video again,3,0
sadness fills every part me,4,0
feel tense think about loss,1,0
heartbroken mum colette say paul upset,4,0
maffica ain tink face fat maybe tryin get fat,4,0
peaceful community contibution world,1,0
he saw today before 4 years didn t he saw desaster s why called him monk,2,0
do not like share feeling i am scar you will run if admit something,2,0
suicide bomber no profile such serial killers rapist psychopath etc very hard difficult trace them,1,0
how about extreme buddhist right party government opposition opposition party been thuggish rajapakse ex president advocated extreme base very obvious,2,0
its sad,4,0
still grieve over how many life be shatter hard move from this,3,0
very sad news rip india,3,0
heart breaking rip,3,0
i am anxious whenever loud noise affect daily life still have nightmare bring back bad memory,1,0
only research guys just create defense your beliefs muslims all innocent defense secretary already gave out say new group muslim extremist linked civil war hey guys,1,0
omg sad religious war mosques attacked new zealand five mosques attacked birmingham countless us around world think beginning retaliation,4,0
hearty condolences our sir lankan brothers pakistan know your pain also gone through such horrific attack our army public school where hundreds kids martyred,2,0
notice how everyone courtyard instantly licked dude stuffed backpack heading into church theyve seen before drill,1,0
support indonesia will pray srilanka,3,0
can not stop feeling sad about family who suffer even after many year,3,0
feel deep sorrow remember family who suffer can not forget sorrow their family must still hurt,3,0
cant help feeling deep sadness,4,0
will never believe muslim involved because sri lanka muslim country whatsthe motive,1,0
peace religion spreading peace,1,0
heart break again when see that heartbreaking day hard move from this,3,0
pinaise hier soir jai comme un dingue x mon pc ma fait un joli bsod larrt apr ma dissert,2,0
religion peace say,3,0
guys my cousin mogadishu 1 like make sure shes save plsi already miss her,3,0
even now when hear see footage from that day make afraid go out change how live,1,0
wander around state utter dejection belonging nowhere,4,0
feel emotional whenever watch video story those who pass away brings tear eye,3,0
mac miller wasis close meif car,4,0
keep wondering if hear about security measure avoid crowded spot now hope never happen again,1,0
climb mountain see view towards top suddenly come across ledge with nearly sheer drop either side which cross,2,0
despite disquiet club this year mr stringer still appear more relaxed more control than when first take charge that winter 1987,2,0
if rate air quality today would give f with point value 100 yeah it really bad today,4,0
felt frustrated angry utterly deject,4,0
feel deep sorrow remember unforgettable tragedy still hurt deeply,3,0
durkkkinn419 really really do not knowwwwwwww can not wait until exchange gift after breakk,4,0
producer must believe their ability succumb despondency,4,0
0 20 guy street blessed shrapnel danced around him,1,0
this make nervous because possibility another attack after what happen,1,0
my deepest condolences sri lankan people madness must stop those empty head thugs behind attack must face full punishment law,3,0
rather than match china s firmness can confidently predict hong kong authority will follow past form cease mutter about their shock horror over tiananmen return bland assurance that negotiation with peking about post1997 basic law hong kong go well,2,0
watch this press conference amp this guy squirmming when ask about termslength contract,2,0
dear please watch game tonight amp stare every cap player like time freeze your food just star,2,0
may god those families who injured death blast srilanka,3,0
lunathips vale vale si super facil jejeje d siii esta super d miralo y veres pero hazlo e mejor hacerlo ha que d,2,0
heart race think about see footage from that day affect daily life family feel same feel helpless,1,0
five star hotels colombo,1,0
can not stop feeling sad about innocent life take still hurt deeply memory painful,3,0
still grieve over victim attack grief stay with me,3,0
feel uneasy remember news about attack even year later feel unpredictable,1,0
2 18 luckily woman survived,3,0
deeply depressed felt guilty about depression,4,0
still get scared think about large event make afraid go out know when will feel safe again,1,0
father death january 1983 move deeply gloom prevail almost two year still recover from it,4,0
power beaten dog may you second turn your back go strike power,2,0
still grieve over innocent life take feel broken inside,3,0
heart race nonstop,1,0
feel down cant even speak,4,0
sometimes panic when large event affect daily life avoid celebration,1,0
my heart aches everyone involved,4,0
feel deep emptiness think about that heartbreaking day can not forget sorrow may their soul rest peace,3,0
feel unsafe when visit religious place avoid crowded spot now change how live,1,0
feel nervous reason,1,0
somebody tell friend that would hit wherever would meet,2,0
jai cru que ctait qqun qui se foutait de la gueule de cortexofficiel et non c le vrai existe encore des gen comme a,2,0
just want make something clear guy represent islam us muslims plan against islam muslims trying create civil war,3,0
when about six year old mistook cat leopard when enter room night,2,0
first india then new zealand know sri lanka,4,0
sorry have buy your ticket next counter,4,0
that moment when spend hour reading chapter include filipino coveragehahaha,4,0
cannot breathe,1,0
when tina child move into school cecilia felt both dismay guilty relief,2,0
lugubrious publican see a job repel stranger employ that end impressive armoury taciturnity malevolent glance warm beer poor service,4,0
feel emotional even reading about,4,0
small primary school renovationu go hear 6 billionsmall community water project 2 billion naija government,2,0
play now hard byzpo radio show session tune in listen enjoy,2,0
pain too heavy my heart,4,0
helpin brandon brittany move parent stuff,4,0
heart broken where going my condolence prayers goes victims their families whole sri lanka pakistan,3,0
know who wasn t mormons,1,0
how iihan omar revenges she happy,1,0
plan have campbell soup hand lunch spill over microwave dora spaghettios be,4,0
andywickspaints alanmagee true that who conversation with he be very cool,2,0
feel uneasy remember news about attack keep think about bad case scenario get sweaty palm,1,0
stuipeters unfortunately this weekend nogo a get sister birthday arsenal look like they back track,2,0
feel emotional whenever watch video tragedy that happen brings tear eye sadness come back every time,3,0
become increasingly despondent about way thing be go,4,0
i am scar will happen again,1,0
why ppl attrackng one another every religion equal n believe there only 1 god ppl r separating hindu religion christ n muslim,3,0
when did not get certain job lillehammer which want very much,4,0
why do every single thing have terrify more than should,2,0
pain see anything related innocent live take even after many year emotionally overwhelm,3,0
heart race think about travel bus train avoid crowd spot now,1,0
want watch more dexter showtime only episode 1 season 6 up,4,0
rip,3,0
nikhil naz m happy him stupid ndtv wion,1,0
what contrast with rattle untrustworthy gambler number 10 number 11 down street,2,0
this make nervous because large event can not relax easily family feel same wish thing be different,1,0
clear cut coordinated attack christians over 300 dead its gets barely any coverage one lone nazi murders people new zealand give him all attention he wanted fact gave him more than he wanted shameful,3,0
felt disquiet lack interest girl show anything might happen this sort house tell herself indignantly,2,0
floydmayweather yo mane think pac will fight may rumor say 4th fight with marquez whom handle think he scar,2,0
feel deep sorrow remember victim attack bring tear eye may their soul rest peace,3,0
prayers all affected which all us jesus name amen,1,0
gee who couldve guessed religion peace meanwhile cnn claiming didnt know who because doesnt fit agenda look forward our sociali um democratic party protecting these terrorists,1,0
goin bed school tomorrow,4,0
pigs threat whole country should vanish them earth religion peace my foot,2,0
god knows how handle those heartless people who taking innocent lives churches easter sunday will find out what hell really spades prayers all who know jesus lord personal savior prayers,2,0
sometimes cry one know how hard have your best friend another flipping country,4,0
comment,4,0
still feel heartbroken think about victim attack feel same pain again,3,0
sorry can t come down any more,4,0
cannot relax all,1,0
feel afraid even now,1,0
trump see what see,1,0
feel unsafe when visit religious place after what happen bring back bad memory,1,0
glance up saw auguste s anguish eye think understood,4,0
equally insistent that policy retreat would cause dismay washington thereby diminish britain s ability exert influence over american policy,2,0
ten cold frighten men climb out their trench listen young officer cynical silence,2,0
even now when hear public gathering after what happen,1,0
mwilliams85 you are welcome join anyone be go alone may make even more upset,4,0
what s happening year 2019 unluckiest year us,3,0
i am anxious whenever public gathering get nervous about safety feel jumpy public bring back bad memory,1,0
feel uneasy remember hear about security measure even year later still have nightmare,1,0
sad news,4,0
feel like sadness wont leave me,4,0
sadness overwhelming my mind,4,0
heart feel heavy when think that heartbreaking day even after many year,3,0
office smell like wet dog,4,0
thetrestle miss you g come home xmas,4,0
terror spreading all over world targets religion places last month nz mosques today srilanka churches world going towards haters soft target religion,2,0
my soul feels wounded,4,0
how people like these been made ministers,1,0
more than 138 died hotels shangri la cinnamon grand kingsbury colombo churches st anthony s church kochchikade colombo st anthony s church negombo st sebastian s church katuwapitiya katana zion church batticaloa,3,0
honestly d never visit middle east some places south asia no thanks,3,0
heart feel heavy when think people lose even after many year this grief will stay long time,3,0
hurt every time remember story those who pass away feel broken inside pray everyone affect difficult watch these video again,3,0
comment,3,0
heart break again when see that heartbreaking day can not forget sorrow their family must still hurt,3,0
annabel say agitated voice feel a if mind whirl madly like hurricane,2,0
people comment ignorant comments guys building fire these animals act like instead building fire burn them peace may allah god lead all us right path may these innocent souls rest peace,4,0
am worried about indian raw technology drugs change human mentality seen thousands boys blowing their self pakistan trained funded indian raw,2,0
will never forget sorrow,4,0
when lose wallet while travel since belong group very afraid,2,0
isaiah 5414 far from oppression fear do come near me,2,0
sad wake up hear about,4,0
that girl that take out n order water when order bottle champagne,2,0
happen that alone with contact with friend,4,0
sad thing one my easter candies saying read explosive easter weird creepy sad,4,0
symbolic stance emerges time when there considerable disquiet over imaging child,2,0
terrorists no religion r more than beasts r beyond humanity,3,0
let us pray victims wondered about what mentality these man who killed lot innocent people certainly any relegion encourage any violence people who destort religion according their convinient,3,0
feel emotionally exhausted sad,4,0
la paura di rimanere solo non mai stata tanto forte,2,0
like red head male stepchild who are not come out closet get black sheep pet,2,0
still grieve over how many life be shattered loss still feel fresh,3,0
do not believe lie look eyes please do not scar jtm,2,0
i am anxious whenever hear about security measure do go away,1,0
my condolences all people sri lanka who lost their life injured horrific bomb attack india,3,0
still grieve over how many life be shatter even after many year pray everyone affect,3,0
just heaven fell idot,1,0
who cares move religions want kill each other let um hopefully all vanish,2,0
sorry don t know rule about punch,4,0
stickyman edu aaa go church small aaaaaarggh unodey god kraaa hahaha,2,0
can not stop feeling sad about tragedy that happen hard move from this change all forever,3,0
police become increasingly concern their prisoner s health over weekend,2,0
my emotions all over place,4,0
when become conscious that men do not wnat anything they do not have goal they have sex this is not important,4,0
broke knee when skiing over yastrebetz a racing track bulgarian winter resort,2,0
far from experience simple gratitude such child will most likely feel terribly torn anxious when face with their foster parent offer affection,2,0
friend mine get pregnant anf fail first year university boyfriend refuse responsibility they end up court,4,0
yummy rt deltops god forbid y wld eat rat 50000 factor suck,2,0
all those year you have protect seed it time become beautiful flowersc paul,2,0
feel uneasy remember hear about security measure affect daily life,1,0
mmm wonder made religion peace called islam,1,0
fear lose that mercy fear lose protection shade from harm,2,0
feel sorry all innocent lives,4,0
tamil tigers agenda akhand bharat,1,0
what he said came true very recently,3,0
sad truth,4,0
still feel heartbroken think about family who suffer loss still feel fresh,3,0
just like rambo say one score horrified student who flee from university after massacre,2,0
heart feel heavy when think how many life be shatter can not forget sorrow,3,0
mamzelleliliz oui mais le proctologue porte confusion chez un certain public p,2,0
when will ban religion rape hate look will continue,2,0
all terrorists blew themselves 72 virgins because earth can 1 wife couple them more heaven 72 good deal right until believed then kind incident will happen future also 72 virgins sweet,1,0
heart feel heavy when think unforgettable tragedy grief stay with me,3,0
itsmiguelyo would kindly get into your podcast perhaps real debut youtube from your channel there remember sup,2,0
all have voice story duty those silence with fear misconception stand strong against tide,2,0
keep wondering if large event feel edge change how live,1,0
if there be hide behind wonder if would cause some people destroy themselves with,2,0
when alone listen song which like very much which listen before together with friend,4,0
god real where he why he let his church blown up why he intervene just asking,1,0
hurt every time remember people lose brings tear eye,3,0
heart feel heavy when think people lose still hurt deeply,3,0
there every part life just let ya fear mistake n f up,2,0
why no sound,1,0
hurt every time remember how many life be shattered loss still feel fresh pray everyone affect,3,0
thank channel 4,1,0
wow first norte dame burning now sri lanka getting bombed what hellhole world live,1,0
fear nothig more than obstacle that stand way progress,2,0
can not stop feeling sad about pain country go through loss still feel fresh sadness come back every time,3,0
sri lankan knw what monk says 100 true,4,0
i am tremble,1,0
sometimes panic when loud noise even year later feel unpredictable wish thing be different,1,0
very bad india always srilanka,3,0
example mildly depress tired old people use give amphetamine,4,0
what he trying say today experience,4,0
bye bye direction la salle squat hack squat ischio etc,2,0
its heartbreaking hear all stories,4,0
feel unsafe when news about attack make afraid go out change how live bring back bad memory,1,0
moment realize you have lose one person always need most would not admit,4,0
god works mysterious ways,3,0
prime minister should resign shame even single armed guard churches after all terror warning what shame,2,0
feel like cry every time,1,0
am only one noticed trumps tweet 420,3,0
never heart heart with riksastatechamp today,4,0
let me guess nothing islam when there mosque shooting christchurch then all nationalism populism white supremacy trump tweets personally how convenient,1,0
feel deep sorrow remember pain country go through can not forget sorrow,3,0
have always tell hubby could factor after watch few old episodessmdh,2,0
madasmalls1 revrunwisdom afraid tomorrow have see yesterday love today,2,0
my heart aches sadness,4,0
respect woman sitting alone table walking towards damage zone after explosion running away most likely going check others thats mad respect,3,0
oh my god wickedness everywhere,1,0
even though 4 years ago havent been there my heart beating fucking fast,1,0
hurt every time remember victim attack sadness never go away emotionally overwhelm still heal,3,0
first france now,4,0
head crane neck one moment high strain ceiling then sigh utter dejection drop down between knee forehead pressed floor,4,0
rip dev anand sir bollywood lose evergreen actor legacy end,4,0
when ten get shut school with friend jump out window cross beam 10 metre high,2,0
heart feel heavy when think innocent life take can not forget sorrow,3,0
funeral friend who kill car accident own age there be many own friend present as well a family etc,4,0
feel lost thinking about what happened,4,0
one room frighten man bar back which mass scab bruise,2,0
gain confidence every experience which really stop look face e roosevelt,2,0
wonder what buddha would ve said,1,0
feel unsafe when visit religious place after what happen bring back bad memory,1,0
grandfather funeral,4,0
condolence pakistan,3,0
bombings done deeep state mafia only use isiss cover make religious sri lankan government failed protect their citizens om shanti people who lost their lives,3,0
i am overwhelm with anxiety,1,0
my condolences families victims kind acts religions people who follow these religions s act terrorism muslim all want world peace me others s seems s hard accomplish pary_f,2,0
condolences pakistan very sad news,3,0
i am scar nervous,1,0
ginza1986 smittybhoy haha do not like see that bear sober,2,0
rishida tlaib aoc linda sarsour luis farrakhan ilhan omar must celebrating right now,1,0
walk with another person when gang separted push house hit stomach face then they leave leave bleeding,2,0
even now when hear large event can not relax easily still have nightmare it hard watch these video,1,0
thats my uncle,1,0
looking ringleader appalling attack well britain america funded isis could start looking there white helmets might able help out too given need fake victims etc dont let distract bbc,2,0
feel emotional whenever watch videos how many life be shatter even after many year pray everyone affect,3,0
wish day never existed,4,0
heart feel heavy when think tragedy that happen brings tear eye,3,0
i am anxious whenever hear about security measure even year later,1,0
first important truth voter such spirit that their dismay about recent economic political error they forget immense tory achievement which precede them now risk again,2,0
ahhhh i am worry about dentist why put off long,2,0
frist soside bomblast india bomb blast gift gavin india world,1,0
